Gasverbrauch,Datum,Stromverbrauch,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m],Traffic,Weekday
0.29449368033569817,2022-01-01 00:00:00+00:00,-1.1162586569714927,-0.9264666501656814,-0.3148053042551812,-0.6940661139775754,0.11589053424975992,-1.1421513136322528,Saturday
0.3575180153083051,2022-01-01 01:00:00+00:00,-1.368316827991824,-1.041966929000637,-0.3148053042551812,-0.9180243318234241,0.047361332672753206,-1.2954794849567368,Saturday
0.3854140872823172,2022-01-01 02:00:00+00:00,-1.5237033301465803,-1.1624348473187405,-0.3148053042551812,-0.8576752768683011,-0.14311249290853495,-1.2954794849567368,Saturday
0.6171313389499639,2022-01-01 03:00:00+00:00,-1.5465180634027331,-1.1351122402409652,-0.3148053042551812,-0.831117633786482,-0.006355003443664716,-1.2954794849567368,Saturday
1.1098597524266947,2022-01-01 04:00:00+00:00,-1.4326849326865836,-1.1636768099718846,-0.3148053042551812,-0.687749929054336,-0.14831633255069918,-1.2954794849567368,Saturday
1.6703311322877221,2022-01-01 05:00:00+00:00,-1.3312432336642435,-1.2307414519488256,-0.3148053042551812,-0.5098408072148946,-0.24825458938694656,-1.2954794849567368,Saturday
1.4551017258200716,2022-01-01 06:00:00+00:00,-1.1733246912208373,-1.277935039218049,-0.3148053042551812,-0.46589559208782705,-0.28262446673192454,-0.6821667996588003,Saturday
1.4722702011600224,2022-01-01 07:00:00+00:00,-1.1224397986345742,-1.305257708392715,-0.3148053042551812,-0.47608190965300223,-0.3410322029070922,-0.22218228568534795,Saturday
1.5557344965124809,2022-01-01 08:00:00+00:00,-0.9853296042808758,-1.3139512606740515,-0.3148053042551812,-0.4457909306585458,-0.2257448619278426,-0.8354949709832844,Saturday
1.401258193238443,2022-01-01 09:00:00+00:00,-0.8157377559106118,-1.0891604914311044,-0.3148053042551812,-0.20432917516943805,-0.019529380896452446,-0.5288386283343162,Saturday
1.2182802465128892,2022-01-01 10:00:00+00:00,-0.7040636788920521,-0.8059987070088216,-0.3148053042551812,-0.380368438889453,-0.2056125039345068,0.23780222828810443,Saturday
0.9414370867307417,2022-01-01 11:00:00+00:00,-0.6137858398390037,-0.587417688934704,-0.3148053042551812,-0.24620186174863737,-0.1712426265895291,0.5444585709370726,Saturday
0.5640714749346324,2022-01-01 12:00:00+00:00,-0.6930802997081966,-0.3638688823449011,-0.3148053042551812,-0.3477834157167511,-0.15450905845075427,0.23780222828810443,Saturday
0.5569911782390528,2022-01-01 13:00:00+00:00,-0.6219820162444542,-0.21235240689269932,-0.3148053042551812,-0.34090998746811,-0.23793413616121672,1.6177557702084615,Saturday
0.613694529099225,2022-01-01 14:00:00+00:00,-0.6285908196634804,-0.11423938165295441,-0.3148053042551812,-0.4041840205819836,-0.2591183950247891,1.157771256235009,Saturday
0.7969400520472385,2022-01-01 15:00:00+00:00,-0.5436283911418135,-0.309223618511838,-0.3148053042551812,-0.2784723686419468,-0.13951190497292837,1.3110994275594934,Saturday
0.9793509661326874,2022-01-01 16:00:00+00:00,-0.1887365371103148,-0.7103694953009614,-0.3148053042551812,-0.40418389382053566,-0.08336696624108217,0.5444585709370726,Saturday
1.005392329843265,2022-01-01 17:00:00+00:00,-0.06915840025856401,-0.8730633489857625,-0.3148053042551812,-0.3318030225057346,-0.07168364638230525,0.23780222828810443,Saturday
1.064681649573988,2022-01-01 18:00:00+00:00,-0.2172677610302227,-0.8966601674591306,-0.3148053042551812,-0.3523865464317382,-0.035822711443316425,-0.9888231423077686,Saturday
1.1004887788822746,2022-01-01 19:00:00+00:00,-0.44336106543596976,-0.9749022870236961,-0.3148053042551812,-0.4837823929691097,-0.19000347100472753,-0.37551045700983204,Saturday
1.033403780224586,2022-01-01 20:00:00+00:00,-0.6717215783992337,-1.0593540211439316,-0.3148053042551812,-0.4457909306585458,-0.2257448619278426,0.0844740569636203,Saturday
0.6724551935257718,2022-01-01 21:00:00+00:00,-0.9071530845194085,-1.1313864019590456,-0.3148053042551812,-0.4457909306585458,-0.2257448619278426,0.23780222828810443,Saturday
0.30673616223038647,2022-01-01 22:00:00+00:00,-1.1277119612863358,-1.1736123000676089,-0.3148053042551812,-0.29821673178220026,-0.2682250333334664,0.6977867422615568,Saturday
0.3508852816375649,2022-01-01 23:00:00+00:00,-1.3269487895397822,-1.192241379702804,-0.3148053042551812,-0.21052998604809087,-0.20142813911849067,-0.9888231423077686,Saturday
0.38201059211112587,2022-01-02 00:00:00+00:00,-1.4783414730747488,-1.2593060216797447,-0.3148053042551812,-0.2784723686419468,-0.13951190497292837,-1.2954794849567368,Sunday
0.46875459004962544,2022-01-02 01:00:00+00:00,-1.6028526459124643,-1.2419188426008032,-0.3148053042551812,-0.25901744414129013,-0.06125878129460991,-1.2954794849567368,Sunday
0.5599481418479707,2022-01-02 02:00:00+00:00,-1.6402764425823304,-1.3238867880279102,-0.3148053042551812,-0.25901744414129013,-0.06125878129460991,-1.2954794849567368,Sunday
0.8502509698550951,2022-01-02 03:00:00+00:00,-1.6352781128464036,-1.3300964398417146,-0.3148053042551812,-0.07613363265586988,-0.1712426265895291,-1.2954794849567368,Sunday
1.3687732926346232,2022-01-02 04:00:00+00:00,-1.5116594637292253,-1.3214028875603783,-0.3148053042551812,0.10241694436426024,-0.23296668238045903,-1.2954794849567368,Sunday
1.7844208773996075,2022-01-02 05:00:00+00:00,-1.3587299685500236,-1.316435136302827,-0.3148053042551812,0.17532072777896326,-0.314355188348525,-1.2954794849567368,Sunday
