Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1960,-0.24,-1.20,-0.91,-1.16,-3.03,-1.71,-0.51,-2.08,-1.29,-0.55,-1.69,-1.07
1961,-0.55,-0.89,-0.38,0.05,-1.22,-0.72,-1.43,-1.61,0.22,0.39,-0.61,-0.25
1962,-1.01,-0.88,-1.22,-1.08,-1.59,0.94,-0.19,-1.21,-0.90,-1.00,0.14,-0.85
1963,-1.35,-0.66,-0.07,-1.46,-0.40,-0.92,-0.95,-0.83,-0.70,-0.61,-0.64,-0.55
1964,-0.98,-1.46,-0.38,-0.48,-1.05,-0.28,0.27,-0.51,-0.16,-2.15,-1.21,-1.89
1965,-0.70,0.69,-0.84,-1.29,-0.10,-0.27,-1.65,-0.28,0.34,0.17,-0.45,-0.28
1966,-0.84,-0.97,-0.60,-0.27,-1.74,-0.18,-1.05,-1.67,-1.20,-2.23,-1.05,-1.79
1967,-0.51,-1.57,-2.35,-0.23,-0.38,-0.71,-1.36,-1.58,-1.05,0.96,-0.26,-1.14
1968,-0.27,-0.39,-0.47,-0.01,-2.36,-0.22,-1.65,-1.98,-1.48,-0.94,-0.79,-1.62
1969,0.47,-0.75,-0.94,-1.04,-0.60,-1.19,0.21,-0.13,-2.45,0.16,-0.61,-1.09
1970,-0.52,0.13,-0.76,-0.83,-1.41,0.41,-0.98,-1.30,-1.50,-0.20,-1.09,-0.72
1971,-0.13,-0.39,-0.27,-1.23,-1.27,-1.79,-1.17,-0.32,-0.20,-0.30,-1.96,-1.15
1972,-1.59,-1.00,-1.28,-1.12,-0.62,-0.08,-0.89,0.05,0.12,-0.34,-0.17,1.18
1973,0.30,-0.67,-0.18,0.28,0.74,0.10,1.38,0.12,-0.70,-0.56,-1.05,-0.94
1974,-1.77,-2.07,-0.69,-1.42,-1.22,-1.48,-0.20,-0.55,-1.45,-1.68,-2.15,-1.26
1975,-1.41,-1.12,-1.40,-1.11,-0.40,-0.97,1.26,-0.78,0.07,-2.35,-0.80,-1.20
1976,-2.41,-1.44,-1.18,-1.38,-1.50,-1.37,-0.63,-1.31,-1.38,-2.15,-1.72,-0.11
1977,-0.67,-0.10,-1.17,-1.08,-1.12,-1.32,-1.10,0.28,-1.44,0.11,-0.17,-0.18
1978,-0.74,-0.12,0.12,-0.65,-0.14,-1.00,-1.12,-1.23,-2.23,-1.48,-1.22,-1.46
1979,0.56,-0.86,-0.14,-0.48,-1.72,0.23,-0.54,-0.36,-0.41,-0.61,0.65,0.60
1980,-0.34,-0.42,0.48,0.05,0.59,-0.11,-0.44,0.26,0.87,-0.26,0.57,0.03
1981,-0.12,-0.72,-1.42,0.99,-0.28,-0.83,-0.10,0.02,0.82,-0.69,-1.66,-0.29
1982,-0.00,-0.57,-1.42,-0.74,-0.84,-2.05,-1.60,0.78,-0.91,-1.35,0.54,0.17
1983,-0.67,1.37,-0.15,-1.97,-0.31,-0.56,-1.53,0.26,1.09,-0.00,-0.60,-0.55
1984,-2.20,-0.85,-1.93,-0.90,-0.18,-0.63,-1.35,-0.52,-2.00,-0.62,-0.36,-0.64
1985,0.14,0.27,0.41,-0.66,-0.27,-1.46,-0.43,0.32,-1.18,-1.07,-0.37,-0.75
1986,-0.69,-0.03,1.11,-0.06,0.23,-0.20,-0.85,-1.32,-0.15,-1.54,-0.72,-0.72
1987,-0.64,-1.14,-1.46,0.36,-0.79,0.29,-0.40,-0.69,-0.40,0.12,-0.15,-0.50
1988,0.52,-0.90,0.13,-0.13,0.57,0.35,0.52,0.06,0.48,1.56,-0.98,-0.93
1989,-0.89,-0.00,-0.81,-0.31,0.26,-1.50,-0.98,-1.92,-0.21,-0.09,-0.98,-0.39
1990,0.06,-1.30,0.50,-0.56,0.33,-1.03,0.13,-0.85,-0.70,-0.11,1.09,0.54
1991,-0.25,0.04,-0.27,-0.29,-0.23,1.31,-0.04,-0.34,-0.02,0.92,-0.45,-0.81
1992,-0.90,-0.36,0.52,0.29,-0.14,-0.30,0.10,-0.37,-0.72,-1.21,-1.81,-1.20
1993,-0.05,-1.10,-0.42,0.72,0.12,-0.68,0.49,0.06,-0.53,-1.22,-0.00,-1.27
1994,0.21,-0.84,-1.43,-0.77,-0.27,-0.54,-0.20,-1.02,-0.44,-0.04,-0.32,0.27
1995,-0.36,-1.18,-1.29,-1.32,-0.90,-0.16,-0.03,0.51,0.71,-0.60,-0.05,-0.96
1996,-0.47,-0.28,-0.40,-0.71,-0.20,1.77,0.51,0.20,0.11,0.04,-0.46,-0.47
1997,-0.96,0.13,-1.25,-0.51,-0.56,-0.60,-1.05,-0.61,0.71,0.06,0.34,0.34
1998,0.35,0.73,0.83,0.01,0.85,0.14,-0.07,1.04,0.77,0.26,-0.34,-0.53
1999,0.62,-0.70,-0.05,-1.65,0.49,-0.10,0.19,0.30,0.77,0.06,-2.06,-1.64
2000,-1.50,-0.70,-0.71,-0.76,-1.87,-1.40,0.25,-0.53,1.13,-0.89,-0.29,-0.74
2001,0.61,-0.39,-1.36,-0.52,-1.06,0.15,-0.11,-0.58,0.34,-1.66,-1.11,-1.33
2002,-0.75,-1.51,-0.32,1.20,0.80,-0.30,-0.07,-0.36,0.51,0.38,1.06,0.30
2003,0.19,0.23,-1.02,0.28,0.42,0.18,0.37,-0.02,0.66,-1.10,0.19,0.37
2004,-0.13,0.07,-0.27,0.35,-0.59,0.08,-0.16,-0.63,-0.84,1.18,-0.17,-0.05
2005,-0.02,0.03,0.54,2.15,0.71,0.48,0.64,-0.20,0.64,0.66,0.37,0.33
2006,0.58,-0.14,0.05,-1.23,-1.67,-1.61,-0.52,0.49,0.68,0.96,1.12,-0.30
2007,-0.38,1.17,0.02,0.36,1.23,-2.10,-0.16,0.35,0.64,0.73,0.19,-0.53
2008,0.72,-1.23,-0.06,-1.02,-0.29,0.41,-0.17,-1.49,0.85,1.02,-0.55,-0.42
2009,-0.08,-0.13,-0.01,0.06,-0.65,0.12,0.30,1.93,0.59,-0.20,1.41,0.25
2010,0.18,0.19,-0.30,0.90,-0.15,-0.30,0.45,-0.64,-0.53,-1.05,-1.14,-1.16
2011,0.33,-0.82,-1.44,-1.19,-2.03,-1.25,0.08,0.42,-0.43,-0.07,-0.20,-0.99
2012,-0.53,-0.93,-1.56,-0.48,-1.17,-1.16,-0.93,-0.25,0.54,0.26,0.97,0.55
2013,1.29,0.11,0.27,0.64,0.54,0.20,0.96,1.09,2.23,0.94,0.11,0.09
2014,0.43,-0.57,0.27,0.57,1.10,-0.17,-0.22,-0.45,0.71,1.42,1.45,0.41
2015,-0.50,1.24,0.36,-1.20,-0.78,0.72,-0.11,0.06,-0.36,2.40,1.42,0.47
2016,-0.01,0.51,1.23,1.44,1.35,0.71,0.48,-0.12,-0.59,-1.04,0.09,0.16
2017,0.26,-0.09,1.15,-0.47,0.13,-0.17,1.26,0.46,0.70,0.93,0.23,0.58
2018,0.74,0.21,0.46,1.81,-0.39,-0.31,0.70,-0.63,0.08,1.30,0.27,1.48
2019,2.22,0.72,1.41,0.71,-0.02,-0.33,0.97,-0.40,0.54,1.55,0.56,2.57
2020,0.77,0.27,-0.00,1.02,-1.24,0.45,0.34,0.70,1.92,0.41,1.86,-0.51
2021,-0.39,-0.88,-0.46,-0.43,-0.14,-0.29,1.15,0.72,0.37,0.29,-1.27,0.46
2022,0.47,-0.58,1.04,0.99,0.37,-0.13,-0.80,0.10,0.06,-0.46,-1.79,-0.81
2023,-0.63,-0.20,0.47,-0.61,-1.73,0.49,0.56,1.66,1.80,,,
