"CubeId";"devkum"
"PublishingDate";"2022-10-03 14:30"

"Date";"D0";"D1";"Value"
"2020-01";"M0";"XDR1";"1.3379"
"2020-01";"M0";"USD3M";"0.9636"
"2020-01";"M0";"USD6M";"0.9575"
"2020-02";"M0";"EUR1";"1.06504"
"2020-02";"M0";"GBP1";"1.26605"
"2020-02";"M0";"DKK100";"14.2549"
"2020-02";"M0";"NOK100";"10.50356"
"2020-02";"M0";"CZK100";"4.24988"
"2020-02";"M0";"HUF100";"0.3156"
"2020-02";"M0";"PLN100";"24.89281"
"2020-02";"M0";"RUB1";"0.01522"
"2020-02";"M0";"SEK100";"10.07556"
"2020-02";"M0";"TRY100";"16.08833"
"2020-02";"M0";"USD1";"0.97608"
"2020-02";"M0";"CAD1";"0.73484"
"2020-02";"M0";"ARS1";"0.01594"
"2020-02";"M0";"BRL100";"22.48709"
"2020-02";"M0";"MXN100";"5.18102"
"2020-02";"M0";"ZAR1";"0.06496"
"2020-02";"M0";"JPY100";"0.8872"
"2020-02";"M0";"AUD1";"0.65098"
"2020-02";"M0";"CNY100";"13.94961"
"2020-02";"M0";"HKD100";"12.55417"
"2020-02";"M0";"KRW100";"0.08167"
"2020-02";"M0";"MYR100";"23.45052"
"2020-02";"M0";"NZD1";"0.62403"
"2020-02";"M0";"SGD1";"0.70233"
"2020-02";"M0";"THB100";"3.11646"
"2020-02";"M0";"XDR1";"1.33672"
"2020-02";"M0";"USD3M";"0.97"
"2020-02";"M0";"USD6M";"0.9642"
"2020-03";"M0";"EUR1";"1.05902"
"2020-03";"M0";"GBP1";"1.18516"
"2020-03";"M0";"DKK100";"14.1761"
"2020-03";"M0";"NOK100";"9.41136"
"2020-03";"M0";"CZK100";"3.99434"
"2020-03";"M0";"HUF100";"0.30692"
"2020-03";"M0";"PLN100";"23.87084"
"2020-03";"M0";"RUB1";"0.01293"
"2020-03";"M0";"SEK100";"9.75557"
"2020-03";"M0";"TRY100";"15.1078"
"2020-03";"M0";"USD1";"0.95701"
"2020-03";"M0";"CAD1";"0.68807"
"2020-03";"M0";"ARS1";"0.01518"
"2020-03";"M0";"BRL100";"19.72251"
"2020-03";"M0";"MXN100";"4.32082"
"2020-03";"M0";"ZAR1";"0.05761"
"2020-03";"M0";"JPY100";"0.89067"
"2020-03";"M0";"AUD1";"0.5969"
"2020-03";"M0";"CNY100";"13.63297"
"2020-03";"M0";"HKD100";"12.32581"
"2020-03";"M0";"KRW100";"0.07844"
"2020-03";"M0";"MYR100";"22.2707"
"2020-03";"M0";"NZD1";"0.58"
"2020-03";"M0";"SGD1";"0.67567"
"2020-03";"M0";"THB100";"2.98049"
"2020-03";"M0";"XDR1";"1.31438"
"2020-03";"M0";"USD3M";"0.9517"
"2020-03";"M0";"USD6M";"0.948"
"2020-04";"M0";"EUR1";"1.05442"
"2020-04";"M0";"GBP1";"1.20439"
"2020-04";"M0";"DKK100";"14.13143"
"2020-04";"M0";"NOK100";"9.29542"
"2020-04";"M0";"CZK100";"3.86821"
"2020-04";"M0";"HUF100";"0.29594"
"2020-04";"M0";"PLN100";"23.21129"
"2020-04";"M0";"RUB1";"0.01291"
"2020-04";"M0";"SEK100";"9.68887"
"2020-04";"M0";"TRY100";"14.13949"
"2020-04";"M0";"USD1";"0.97097"
"2020-04";"M0";"CAD1";"0.6902"
"2020-04";"M0";"ARS1";"0.01482"
"2020-04";"M0";"BRL100";"18.24955"
"2020-04";"M0";"MXN100";"3.99807"
"2020-04";"M0";"ZAR1";"0.05223"
"2020-04";"M0";"JPY100";"0.9012"
"2020-04";"M0";"AUD1";"0.611"
"2020-04";"M0";"CNY100";"13.72071"
"2020-04";"M0";"HKD100";"12.52634"
"2020-04";"M0";"KRW100";"0.07931"
"2020-04";"M0";"MYR100";"22.29309"
"2020-04";"M0";"NZD1";"0.58247"
"2020-04";"M0";"SGD1";"0.68165"
"2020-04";"M0";"THB100";"2.97611"
"2020-04";"M0";"XDR1";"1.32292"
"2020-04";"M0";"USD3M";"0.9674"
"2020-04";"M0";"USD6M";"0.9642"
"2020-05";"M0";"EUR1";"1.05675"
"2020-05";"M0";"GBP1";"1.19284"
"2020-05";"M0";"DKK100";"14.16988"
"2020-05";"M0";"NOK100";"9.59359"
"2020-05";"M0";"CZK100";"3.87334"
"2020-05";"M0";"HUF100";"0.30103"
"2020-05";"M0";"PLN100";"23.33323"
"2020-05";"M0";"RUB1";"0.01332"
"2020-05";"M0";"SEK100";"9.96007"
"2020-05";"M0";"TRY100";"13.98901"
"2020-05";"M0";"USD1";"0.97072"
"2020-05";"M0";"CAD1";"0.69451"
"2020-05";"M0";"ARS1";"0.01436"
"2020-05";"M0";"BRL100";"17.22675"
"2020-05";"M0";"MXN100";"4.13087"
"2020-05";"M0";"ZAR1";"0.05347"
"2020-05";"M0";"JPY100";"0.9057"
"2020-05";"M0";"AUD1";"0.63215"
"2020-05";"M0";"CNY100";"13.65617"
"2020-05";"M0";"HKD100";"12.52201"
"2020-05";"M0";"KRW100";"0.07896"
"2020-05";"M0";"MYR100";"22.35367"
"2020-05";"M0";"NZD1";"0.59049"
"2020-05";"M0";"SGD1";"0.68419"
"2020-05";"M0";"THB100";"3.02612"
"2020-05";"M0";"XDR1";"1.32194"
"2020-05";"M0";"USD3M";"0.9675"
"2020-05";"M0";"USD6M";"0.9647"
"2020-06";"M0";"EUR1";"1.07173"
"2020-06";"M0";"GBP1";"1.19224"
"2020-06";"M0";"DKK100";"14.37663"
"2020-06";"M0";"NOK100";"9.99728"
"2020-06";"M0";"CZK100";"4.02055"
"2020-06";"M0";"HUF100";"0.30837"
"2020-06";"M0";"PLN100";"24.11807"
"2020-06";"M0";"RUB1";"0.01374"
"2020-06";"M0";"SEK100";"10.22319"
"2020-06";"M0";"TRY100";"13.94022"
"2020-06";"M0";"USD1";"0.95106"
"2020-06";"M0";"CAD1";"0.70219"
"2020-06";"M0";"ARS1";"0.01369"
"2020-06";"M0";"BRL100";"18.38785"
"2020-06";"M0";"MXN100";"4.27307"
"2020-06";"M0";"ZAR1";"0.05563"
"2020-06";"M0";"JPY100";"0.88405"
"2020-06";"M0";"AUD1";"0.65658"
"2020-06";"M0";"CNY100";"13.42799"
"2020-06";"M0";"HKD100";"12.2714"
"2020-06";"M0";"KRW100";"0.07878"
"2020-06";"M0";"MYR100";"22.25367"
"2020-06";"M0";"NZD1";"0.61351"
"2020-06";"M0";"SGD1";"0.68276"
"2020-06";"M0";"THB100";"3.05446"
"2020-06";"M0";"XDR1";"1.31299"
"2020-06";"M0";"USD3M";"0.9487"
"2020-06";"M0";"USD6M";"0.9459"
"2020-07";"M0";"EUR1";"1.07056"
"2020-07";"M0";"GBP1";"1.18276"
"2020-07";"M0";"DKK100";"14.37678"
"2020-07";"M0";"NOK100";"10.0433"
"2020-07";"M0";"CZK100";"4.03661"
"2020-07";"M0";"HUF100";"0.30497"
"2020-07";"M0";"PLN100";"24.05507"
"2020-07";"M0";"RUB1";"0.01308"
"2020-07";"M0";"SEK100";"10.33778"
"2020-07";"M0";"TRY100";"13.59488"
"2020-07";"M0";"USD1";"0.93462"
"2020-07";"M0";"CAD1";"0.69181"
"2020-07";"M0";"ARS1";"0.0131"
"2020-07";"M0";"BRL100";"17.65137"
"2020-07";"M0";"MXN100";"4.16641"
"2020-07";"M0";"ZAR1";"0.05573"
"2020-07";"M0";"JPY100";"0.87546"
"2020-07";"M0";"AUD1";"0.65658"
"2020-07";"M0";"CNY100";"13.33015"
"2020-07";"M0";"HKD100";"12.05816"
"2020-07";"M0";"KRW100";"0.07796"
"2020-07";"M0";"MYR100";"21.91446"
"2020-07";"M0";"NZD1";"0.6151"
"2020-07";"M0";"SGD1";"0.67334"
"2020-07";"M0";"THB100";"2.97486"
"2020-07";"M0";"XDR1";"1.2986"
"2020-07";"M0";"USD3M";"0.9321"
"2020-07";"M0";"USD6M";"0.9291"
"2020-08";"M0";"EUR1";"1.07678"
"2020-08";"M0";"GBP1";"1.19565"
"2020-08";"M0";"DKK100";"14.46122"
"2020-08";"M0";"NOK100";"10.16996"
"2020-08";"M0";"CZK100";"4.11513"
"2020-08";"M0";"HUF100";"0.30854"
"2020-08";"M0";"PLN100";"24.46304"
"2020-08";"M0";"RUB1";"0.01233"
"2020-08";"M0";"SEK100";"10.44616"
"2020-08";"M0";"TRY100";"12.49916"
"2020-08";"M0";"USD1";"0.91007"
"2020-08";"M0";"CAD1";"0.68753"
"2020-08";"M0";"ARS1";"0.01243"
"2020-08";"M0";"BRL100";"16.71485"
"2020-08";"M0";"MXN100";"4.09887"
"2020-08";"M0";"ZAR1";"0.05277"
"2020-08";"M0";"JPY100";"0.85861"
"2020-08";"M0";"AUD1";"0.65493"
"2020-08";"M0";"CNY100";"13.1368"
"2020-08";"M0";"HKD100";"11.74249"
"2020-08";"M0";"KRW100";"0.07671"
"2020-08";"M0";"MYR100";"21.73602"
"2020-08";"M0";"NZD1";"0.6003"
"2020-08";"M0";"SGD1";"0.66465"
"2020-08";"M0";"THB100";"2.91617"
"2020-08";"M0";"XDR1";"1.28496"
"2020-08";"M0";"USD3M";"0.9077"
"2020-08";"M0";"USD6M";"0.905"
"2020-09";"M0";"EUR1";"1.07837"
"2020-09";"M0";"GBP1";"1.1861"
"2020-09";"M0";"DKK100";"14.49105"
"2020-09";"M0";"NOK100";"10.01625"
"2020-09";"M0";"CZK100";"4.03623"
"2020-09";"M0";"HUF100";"0.29919"
"2020-09";"M0";"PLN100";"24.11155"
"2020-09";"M0";"RUB1";"0.01204"
"2020-09";"M0";"SEK100";"10.34543"
"2020-09";"M0";"TRY100";"12.10543"
"2020-09";"M0";"USD1";"0.91437"
"2020-09";"M0";"CAD1";"0.69199"
"2020-09";"M0";"ARS1";"0.01217"
"2020-09";"M0";"BRL100";"16.95348"
"2020-09";"M0";"MXN100";"4.22318"
"2020-09";"M0";"ZAR1";"0.05467"
"2020-09";"M0";"JPY100";"0.86616"
"2020-09";"M0";"AUD1";"0.66159"
"2020-09";"M0";"CNY100";"13.42445"
"2020-09";"M0";"HKD100";"11.79802"
"2020-09";"M0";"KRW100";"0.07767"
"2020-09";"M0";"MYR100";"22.03616"
"2020-09";"M0";"NZD1";"0.61025"
"2020-09";"M0";"SGD1";"0.66964"
"2020-09";"M0";"THB100";"2.91539"
"2020-09";"M0";"XDR1";"1.29238"
"2020-09";"M0";"USD3M";"0.9118"
"2020-09";"M0";"USD6M";"0.9091"
"2020-10";"M0";"EUR1";"1.07399"
"2020-10";"M0";"GBP1";"1.1849"
"2020-10";"M0";"DKK100";"14.43135"
"2020-10";"M0";"NOK100";"9.8309"
"2020-10";"M0";"CZK100";"3.94606"
"2020-10";"M0";"HUF100";"0.29614"
"2020-10";"M0";"PLN100";"23.64597"
"2020-10";"M0";"RUB1";"0.01175"
"2020-10";"M0";"SEK100";"10.32666"
"2020-10";"M0";"TRY100";"11.48677"
"2020-10";"M0";"USD1";"0.91277"
"2020-10";"M0";"CAD1";"0.69094"
"2020-10";"M0";"ARS1";"0.01179"
"2020-10";"M0";"BRL100";"16.23415"
"2020-10";"M0";"MXN100";"4.28096"
"2020-10";"M0";"ZAR1";"0.05544"
"2020-10";"M0";"JPY100";"0.86778"
"2020-10";"M0";"AUD1";"0.65061"
"2020-10";"M0";"CNY100";"13.56803"
"2020-10";"M0";"HKD100";"11.77725"
"2020-10";"M0";"KRW100";"0.07978"
"2020-10";"M0";"MYR100";"21.98309"
"2020-10";"M0";"NZD1";"0.60583"
"2020-10";"M0";"SGD1";"0.67142"
"2020-10";"M0";"THB100";"2.92081"
"2020-10";"M0";"XDR1";"1.28988"
"2020-10";"M0";"USD3M";"0.9101"
"2020-10";"M0";"USD6M";"0.9077"
"2020-11";"M0";"EUR1";"1.07798"
"2020-11";"M0";"GBP1";"1.20291"
"2020-11";"M0";"DKK100";"14.47698"
"2020-11";"M0";"NOK100";"10.02261"
"2020-11";"M0";"CZK100";"4.07133"
"2020-11";"M0";"HUF100";"0.29943"
"2020-11";"M0";"PLN100";"23.96187"
"2020-11";"M0";"RUB1";"0.01185"
"2020-11";"M0";"SEK100";"10.5348"
"2020-11";"M0";"TRY100";"11.41188"
"2020-11";"M0";"USD1";"0.91087"
"2020-11";"M0";"CAD1";"0.6965"
"2020-11";"M0";"ARS1";"0.01142"
"2020-11";"M0";"BRL100";"16.70825"
"2020-11";"M0";"MXN100";"4.46131"
"2020-11";"M0";"ZAR1";"0.05858"
"2020-11";"M0";"JPY100";"0.87257"
"2020-11";"M0";"AUD1";"0.66258"
"2020-11";"M0";"CNY100";"13.79631"
"2020-11";"M0";"HKD100";"11.74932"
"2020-11";"M0";"KRW100";"0.08169"
"2020-11";"M0";"MYR100";"22.15538"
"2020-11";"M0";"NZD1";"0.62527"
"2020-11";"M0";"SGD1";"0.67618"
"2020-11";"M0";"THB100";"2.99025"
"2020-11";"M0";"XDR1";"1.29553"
"2020-11";"M0";"USD3M";"0.9082"
"2020-11";"M0";"USD6M";"0.9058"
"2020-12";"M0";"EUR1";"1.08156"
"2020-12";"M0";"GBP1";"1.19369"
"2020-12";"M0";"DKK100";"14.53502"
"2020-12";"M0";"NOK100";"10.20189"
"2020-12";"M0";"CZK100";"4.11161"
"2020-12";"M0";"HUF100";"0.30116"
"2020-12";"M0";"PLN100";"24.15173"
"2020-12";"M0";"RUB1";"0.01198"
"2020-12";"M0";"SEK100";"10.62872"
"2020-12";"M0";"TRY100";"11.51838"
"2020-12";"M0";"USD1";"0.88887"
"2020-12";"M0";"CAD1";"0.69343"
"2020-12";"M0";"ARS1";"0.01077"
"2020-12";"M0";"BRL100";"17.24938"
"2020-12";"M0";"MXN100";"4.45096"
"2020-12";"M0";"ZAR1";"0.05962"
"2020-12";"M0";"JPY100";"0.8564"
"2020-12";"M0";"AUD1";"0.66876"
"2020-12";"M0";"CNY100";"13.58844"
"2020-12";"M0";"HKD100";"11.46601"
"2020-12";"M0";"KRW100";"0.08125"
"2020-12";"M0";"MYR100";"21.91408"
"2020-12";"M0";"NZD1";"0.63016"
"2020-12";"M0";"SGD1";"0.66687"
"2020-12";"M0";"THB100";"2.95494"
"2020-12";"M0";"XDR1";"1.27741"
"2020-12";"M0";"USD3M";"0.886"
"2020-12";"M0";"USD6M";"0.8836"
"2021-01";"M0";"EUR1";"1.07931"
"2021-01";"M0";"GBP1";"1.2092"
"2021-01";"M0";"DKK100";"14.50958"
"2021-01";"M0";"NOK100";"10.41457"
"2021-01";"M0";"CZK100";"4.12933"
"2021-01";"M0";"HUF100";"0.30062"
"2021-01";"M0";"PLN100";"23.8027"
"2021-01";"M0";"RUB1";"0.01192"
"2021-01";"M0";"SEK100";"10.69221"
"2021-01";"M0";"TRY100";"11.99406"
"2021-01";"M0";"USD1";"0.88663"
"2021-01";"M0";"CAD1";"0.69679"
"2021-01";"M0";"ARS1";"0.01033"
"2021-01";"M0";"BRL100";"16.57994"
"2021-01";"M0";"MXN100";"4.4537"
"2021-01";"M0";"ZAR1";"0.05863"
"2021-01";"M0";"JPY100";"0.85465"
"2021-01";"M0";"AUD1";"0.68486"
"2021-01";"M0";"CNY100";"13.70628"
"2021-01";"M0";"HKD100";"11.43635"
"2021-01";"M0";"KRW100";"0.08068"
"2021-01";"M0";"MYR100";"21.95528"
"2021-01";"M0";"NZD1";"0.63784"
"2021-01";"M0";"SGD1";"0.6687"
"2021-01";"M0";"THB100";"2.95486"
"2021-01";"M0";"XDR1";"1.27895"
"2021-01";"M0";"USD3M";"0.884"
"2021-01";"M0";"USD6M";"0.8817"
"2021-02";"M0";"EUR1";"1.08554"
"2021-02";"M0";"GBP1";"1.24399"
"2021-02";"M0";"DKK100";"14.59703"
"2021-02";"M0";"NOK100";"10.56249"
"2021-02";"M0";"CZK100";"4.19592"
"2021-02";"M0";"HUF100";"0.30307"
"2021-02";"M0";"PLN100";"24.13525"
"2021-02";"M0";"RUB1";"0.01207"
"2021-02";"M0";"SEK100";"10.76438"
"2021-02";"M0";"TRY100";"12.67175"
"2021-02";"M0";"USD1";"0.89725"
