iso_code;variable;value
AZE;sub-region;Western Asia
BDI;sub-region;Sub-Saharan Africa
BEL;sub-region;Western Europe
BEN;sub-region;Sub-Saharan Africa
BES;sub-region;Latin America and the Caribbean
BFA;sub-region;Sub-Saharan Africa
BGD;sub-region;Southern Asia
BGR;sub-region;Eastern Europe
BHR;sub-region;Western Asia
BHS;sub-region;Latin America and the Caribbean
BIH;sub-region;Southern Europe
BLM;sub-region;Latin America and the Caribbean
BLR;sub-region;Eastern Europe
BLZ;sub-region;Latin America and the Caribbean
BMU;sub-region;Northern America
BOL;sub-region;Latin America and the Caribbean
BRA;sub-region;Latin America and the Caribbean
BRB;sub-region;Latin America and the Caribbean
BRN;sub-region;South-eastern Asia
BTN;sub-region;Southern Asia
BVT;sub-region;Latin America and the Caribbean
BWA;sub-region;Sub-Saharan Africa
CAF;sub-region;Sub-Saharan Africa
CAN;sub-region;Northern America
CCK;sub-region;Australia and New Zealand
CHE;sub-region;Western Europe
CHL;sub-region;Latin America and the Caribbean
CHN;sub-region;Eastern Asia
CIV;sub-region;Sub-Saharan Africa
CMR;sub-region;Sub-Saharan Africa
COD;sub-region;Sub-Saharan Africa
COG;sub-region;Sub-Saharan Africa
COK;sub-region;Polynesia
COL;sub-region;Latin America and the Caribbean
COM;sub-region;Sub-Saharan Africa
CPV;sub-region;Sub-Saharan Africa
CRI;sub-region;Latin America and the Caribbean
CUB;sub-region;Latin America and the Caribbean
CUW;sub-region;Latin America and the Caribbean
CXR;sub-region;Australia and New Zealand
CYM;sub-region;Latin America and the Caribbean
CYP;sub-region;Western Asia
CZE;sub-region;Eastern Europe
DEU;sub-region;Western Europe
DJI;sub-region;Sub-Saharan Africa
DMA;sub-region;Latin America and the Caribbean
DNK;sub-region;Northern Europe
DOM;sub-region;Latin America and the Caribbean
DZA;sub-region;Northern Africa
ECU;sub-region;Latin America and the Caribbean
EGY;sub-region;Northern Africa
ERI;sub-region;Sub-Saharan Africa
ESH;sub-region;Northern Africa
ESP;sub-region;Southern Europe
EST;sub-region;Northern Europe
ETH;sub-region;Sub-Saharan Africa
FIN;sub-region;Northern Europe
FJI;sub-region;Melanesia
FLK;sub-region;Latin America and the Caribbean
FRA;sub-region;Western Europe
FRO;sub-region;Northern Europe
FSM;sub-region;Micronesia
GAB;sub-region;Sub-Saharan Africa
GBR;sub-region;Northern Europe
GEO;sub-region;Western Asia
GGY;sub-region;Northern Europe
GHA;sub-region;Sub-Saharan Africa
GIB;sub-region;Southern Europe
GIN;sub-region;Sub-Saharan Africa
GLP;sub-region;Latin America and the Caribbean
GMB;sub-region;Sub-Saharan Africa
GNB;sub-region;Sub-Saharan Africa
GNQ;sub-region;Sub-Saharan Africa
GRC;sub-region;Southern Europe
GRD;sub-region;Latin America and the Caribbean
GRL;sub-region;Northern America
GTM;sub-region;Latin America and the Caribbean
GUF;sub-region;Latin America and the Caribbean
GUM;sub-region;Micronesia
GUY;sub-region;Latin America and the Caribbean
HKG;sub-region;Eastern Asia
HMD;sub-region;Australia and New Zealand
HND;sub-region;Latin America and the Caribbean
HRV;sub-region;Southern Europe
HTI;sub-region;Latin America and the Caribbean
HUN;sub-region;Eastern Europe
IDN;sub-region;South-eastern Asia
IMN;sub-region;Northern Europe
IND;sub-region;Southern Asia
IOT;sub-region;Sub-Saharan Africa
IRL;sub-region;Northern Europe
IRN;sub-region;Southern Asia
IRQ;sub-region;Western Asia
ISL;sub-region;Northern Europe
ISR;sub-region;Western Asia
ITA;sub-region;Southern Europe
JAM;sub-region;Latin America and the Caribbean
JEY;sub-region;Northern Europe
JOR;sub-region;Western Asia
JPN;sub-region;Eastern Asia
KAZ;sub-region;Central Asia
KEN;sub-region;Sub-Saharan Africa
KGZ;sub-region;Central Asia
KHM;sub-region;South-eastern Asia
KIR;sub-region;Micronesia
KNA;sub-region;Latin America and the Caribbean
KOR;sub-region;Eastern Asia
KWT;sub-region;Western Asia
LAO;sub-region;South-eastern Asia
LBN;sub-region;Western Asia
LBR;sub-region;Sub-Saharan Africa
LBY;sub-region;Northern Africa
LCA;sub-region;Latin America and the Caribbean
LIE;sub-region;Western Europe
LKA;sub-region;Southern Asia
LSO;sub-region;Sub-Saharan Africa
LTU;sub-region;Northern Europe
LUX;sub-region;Western Europe
LVA;sub-region;Northern Europe
MAC;sub-region;Eastern Asia
MAF;sub-region;Latin America and the Caribbean
MAR;sub-region;Northern Africa
MCO;sub-region;Western Europe
MDA;sub-region;Eastern Europe
MDG;sub-region;Sub-Saharan Africa
MDV;sub-region;Southern Asia
MEX;sub-region;Latin America and the Caribbean
MHL;sub-region;Micronesia
MKD;sub-region;Southern Europe
MLI;sub-region;Sub-Saharan Africa
MLT;sub-region;Southern Europe
MMR;sub-region;South-eastern Asia
MNE;sub-region;Southern Europe
MNG;sub-region;Eastern Asia
MNP;sub-region;Micronesia
MOZ;sub-region;Sub-Saharan Africa
MRT;sub-region;Sub-Saharan Africa
MSR;sub-region;Latin America and the Caribbean
MTQ;sub-region;Latin America and the Caribbean
MUS;sub-region;Sub-Saharan Africa
MWI;sub-region;Sub-Saharan Africa
MYS;sub-region;South-eastern Asia
MYT;sub-region;Sub-Saharan Africa
NAM;sub-region;Sub-Saharan Africa
NCL;sub-region;Melanesia
NER;sub-region;Sub-Saharan Africa
NFK;sub-region;Australia and New Zealand
NGA;sub-region;Sub-Saharan Africa
NIC;sub-region;Latin America and the Caribbean
NIU;sub-region;Polynesia
NLD;sub-region;Western Europe
NOR;sub-region;Northern Europe
NPL;sub-region;Southern Asia
NRU;sub-region;Micronesia
NZL;sub-region;Australia and New Zealand
OMN;sub-region;Western Asia
PAK;sub-region;Southern Asia
PAN;sub-region;Latin America and the Caribbean
PCN;sub-region;Polynesia
PER;sub-region;Latin America and the Caribbean
PHL;sub-region;South-eastern Asia
PLW;sub-region;Micronesia
PNG;sub-region;Melanesia
POL;sub-region;Eastern Europe
PRI;sub-region;Latin America and the Caribbean
PRK;sub-region;Eastern Asia
PRT;sub-region;Southern Europe
PRY;sub-region;Latin America and the Caribbean
PSE;sub-region;Western Asia
PYF;sub-region;Polynesia
QAT;sub-region;Western Asia
REU;sub-region;Sub-Saharan Africa
ROU;sub-region;Eastern Europe
RUS;sub-region;Eastern Europe
RWA;sub-region;Sub-Saharan Africa
SAU;sub-region;Western Asia
SDN;sub-region;Northern Africa
SEN;sub-region;Sub-Saharan Africa
SGP;sub-region;South-eastern Asia
SGS;sub-region;Latin America and the Caribbean
SHN;sub-region;Sub-Saharan Africa
SJM;sub-region;Northern Europe
SLB;sub-region;Melanesia
SLE;sub-region;Sub-Saharan Africa
SLV;sub-region;Latin America and the Caribbean
SMR;sub-region;Southern Europe
SOM;sub-region;Sub-Saharan Africa
SPM;sub-region;Northern America
SRB;sub-region;Southern Europe
SSD;sub-region;Sub-Saharan Africa
STP;sub-region;Sub-Saharan Africa
SUR;sub-region;Latin America and the Caribbean
SVK;sub-region;Eastern Europe
SVN;sub-region;Southern Europe
SWE;sub-region;Northern Europe
SWZ;sub-region;Sub-Saharan Africa
SXM;sub-region;Latin America and the Caribbean
SYC;sub-region;Sub-Saharan Africa
SYR;sub-region;Western Asia
TCA;sub-region;Latin America and the Caribbean
TCD;sub-region;Sub-Saharan Africa
TGO;sub-region;Sub-Saharan Africa
THA;sub-region;South-eastern Asia
TJK;sub-region;Central Asia
TKL;sub-region;Polynesia
TKM;sub-region;Central Asia
TLS;sub-region;South-eastern Asia
TON;sub-region;Polynesia
TTO;sub-region;Latin America and the Caribbean
TUN;sub-region;Northern Africa
TUR;sub-region;Western Asia
TUV;sub-region;Polynesia
TWN;sub-region;Eastern Asia
TZA;sub-region;Sub-Saharan Africa
UGA;sub-region;Sub-Saharan Africa
UKR;sub-region;Eastern Europe
UMI;sub-region;Micronesia
URY;sub-region;Latin America and the Caribbean
USA;sub-region;Northern America
UZB;sub-region;Central Asia
VAT;sub-region;Southern Europe
VCT;sub-region;Latin America and the Caribbean
VEN;sub-region;Latin America and the Caribbean
VGB;sub-region;Latin America and the Caribbean
VIR;sub-region;Latin America and the Caribbean
VNM;sub-region;South-eastern Asia
VUT;sub-region;Melanesia
WLF;sub-region;Polynesia
WSM;sub-region;Polynesia
YEM;sub-region;Western Asia
ZAF;sub-region;Sub-Saharan Africa
ZMB;sub-region;Sub-Saharan Africa
ZWE;sub-region;Sub-Saharan Africa
