location,Basel,Basel,Basel,Basel
lat,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220105T1500,3.7402453,0.0,9.47012,261.25385
20220105T1600,2.4002454,0.0,7.10031,239.53445
20220105T1700,1.9502454,0.0,5.6233797,230.19443
20220105T1800,0.9002454,0.0,5.3517847,227.72632
20220105T1900,0.84024537,0.0,5.6233797,230.19443
20220105T2000,1.2002454,0.0,5.0911684,225.0
20220105T2100,1.3602455,0.0,4.8433046,221.98721
20220105T2200,1.2002454,0.0,6.151683,200.55605
20220105T2300,1.0702454,0.0,5.95906,205.01689
20220106T0000,1.5602454,0.0,5.1919937,213.69006
20220106T0100,1.7302454,0.0,5.1165614,219.28941
20220106T0200,1.8102454,0.0,4.8433046,221.98721
20220106T0300,2.0002456,0.1,4.8433046,221.98721
20220106T0400,1.9902455,0.2,5.1165614,219.28941
20220106T0500,1.8102454,0.3,4.6102495,218.65982
20220106T0600,1.8002454,0.2,4.3349743,221.63354
20220106T0700,1.6702454,0.2,6.1305785,220.23636
20220106T0800,2.1002455,0.0,5.00128,210.25644
20220106T0900,2.4702454,0.0,3.0547013,225.0
20220106T1000,3.2502456,0.0,4.39436,304.99203
20220106T1100,3.5602455,0.0,6.28713,336.37064
20220106T1200,4.170245,0.0,6.9899354,348.11133
20220106T1300,4.4802456,0.0,6.130579,3.3664398
20220106T1400,4.150245,0.0,5.1544156,12.094757
20220106T1500,3.9402456,0.0,2.5455842,8.130096
20220106T1600,2.1902454,0.0,1.835647,11.309921
20220106T1700,2.1502454,0.0,1.0182338,44.999985
20220106T1800,1.5802454,0.0,2.8116899,320.19443
20220106T1900,0.8702454,0.0,1.5273507,44.999985
20220106T2000,0.3102454,0.0,0.35999998,180.0
20220106T2100,-0.009754598,0.0,1.609969,153.43495
20220106T2200,-1.1897546,0.0,3.6179552,174.28941
20220106T2300,-1.4697546,0.0,6.638072,167.47119
20220107T0000,-2.0597544,0.0,5.0142193,158.9625
20220107T0100,-1.6297547,0.0,4.896529,162.89728
