location,Basel,Basel,Basel,Basel,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697,283.697,283.697,283.697,283.697
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Speed,Wind Speed,Wind Speed,Wind Direction Dominant
unit,°C,°C,°C,mm,km/h,km/h,km/h,°
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,10 m,10 m,10 m,10 m
resolution,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Speed [10 m],Basel Wind Direction Dominant [10 m]
20220225T0000,7.3605285,0.90052867,4.364279,0.3,23.177402,7.9932966,16.018255,279.4715
20220226T0000,7.6805286,0.25052866,3.3942788,0.0,15.281989,0.8049845,9.239478,92.531425
20220227T0000,9.3005295,-1.0194713,3.2071953,0.0,27.155552,0.71999997,12.571277,102.56835
20220228T0000,9.900529,-1.0494714,3.4288619,0.0,12.57426,2.6208394,8.286513,108.510635
20220301T0000,10.080529,-0.36947134,4.777612,0.0,16.267857,3.0758414,9.320081,103.3871
20220302T0000,11.630529,-0.27947134,6.2734456,0.0,9.983106,1.2979984,5.984278,87.4949
20220303T0000,12.370529,3.3905284,7.2580285,0.0,14.578888,0.35999998,6.9267697,20.006683
20220304T0000,9.980529,-0.76947135,4.1326118,0.0,12.57426,0.35999998,5.1796947,34.286865
20220305T0000,8.310529,-1.4294714,2.9655287,0.0,12.397806,1.08,5.426698,66.98525
20220306T0000,8.170529,-1.5294713,2.265529,0.0,10.390226,1.1384199,4.6248918,84.40066
20220307T0000,7.3205285,-2.7094715,1.8255286,0.0,20.240196,1.08,11.005451,92.128975
20220308T0000,10.030529,-2.0794713,3.1992786,0.0,17.992796,9.19939,12.634248,109.00308
20220309T0000,12.710529,0.60052866,6.285528,0.0,9.83268,1.5273507,6.426455,107.336
20220310T0000,14.400529,1.0305287,7.6663623,0.0,15.716793,7.2,11.248202,115.180534
20220311T0000,15.420529,-0.07947134,7.865112,0.0,20.730501,9.339208,15.25267,112.5894
20220312T0000,14.430529,3.6405284,8.850529,0.0,19.255793,3.8773184,9.470315,105.05805
20220313T0000,15.860529,4.1505284,10.14803,0.0,18.511143,2.16,13.139747,103.913246
20220314T0000,14.970529,5.6505284,10.488446,0.0,10.931203,2.16,6.909043,97.431404
20220315T0000,18.530529,7.1905284,13.111779,2.2,22.476227,3.8268526,9.266825,127.15432
20220316T0000,20.000528,8.720529,13.902614,0.0,17.902534,5.1544156,10.999828,107.396996
20220317T0000,17.48053,7.2105284,11.660527,0.6,30.735231,3.8268526,16.545286,18.625443
20220318T0000,16.330528,5.2305284,10.581779,0.0,29.795301,8.427383,20.656698,48.0168
20220319T0000,15.140529,2.0405285,9.296362,0.0,20.969805,2.4149535,11.759754,80.10117
20220320T0000,17.240528,5.2705283,10.641779,0.0,17.654688,1.9386592,10.656061,139.45036
20220321T0000,17.410528,3.6305285,10.157195,0.0,14.440443,1.0182338,8.509335,110.38916
20220322T0000,16.490528,4.6205287,10.905529,0.0,11.966953,1.2979984,5.4599137,166.32869
20220323T0000,17.72053,5.6305285,11.637195,0.0,6.379216,1.1384199,3.9558604,87.10873
20220324T0000,18.81053,7.0605288,12.680528,0.0,9.726665,1.8,5.637872,39.2894
20220325T0000,18.82053,6.4305286,12.289696,0.0,10.805999,1.1384199,5.10277,28.717102
20220326T0000,19.990528,5.1105285,11.512196,0.0,20.172853,3.2599385,7.5113945,81.41637
20220327T0000,19.21053,4.6505284,12.637196,0.0,12.599999,2.2768397,5.897408,93.40276
20220328T0000,21.010529,6.8005285,14.60928,0.0,8.699793,2.1897945,5.5975776,153.43494
20220329T0000,19.63053,10.910529,15.40136,0.0,22.473343,4.3349743,8.743574,202.78685
20220330T0000,13.990529,9.950529,12.081361,1.2,21.841648,1.08,11.892793,274.1327
20220331T0000,12.500529,6.7505283,9.083862,6.8999996,20.478907,1.1384199,10.980243,296.82874
20220401T0000,6.3405285,0.8205287,3.3034449,6.4999995,22.862123,10.948973,16.16504,308.92926
20220402T0000,4.0105286,0.41052866,2.1376116,0.6,42.48,8.891344,29.76367,13.363464
20220403T0000,7.7305284,0.070528656,3.905945,0.1,15.696165,0.8049845,8.731764,37.910065
20220404T0000,10.030529,-0.6094713,5.305112,0.0,24.84,1.2979984,12.678885,260.92728
20220405T0000,14.170529,6.7805285,10.263028,0.0,24.863468,6.3690495,16.904139,259.37378
20220406T0000,14.670529,5.6205287,11.187196,0.0,24.648829,5.8048253,15.129865,255.8725
20220407T0000,14.790529,8.860529,12.020528,1.9000001,49.266098,23.157824,35.946136,244.46475
20220408T0000,15.0505295,6.9505286,10.993862,7.6,47.532272,1.609969,27.03475,251.63986
20220409T0000,9.810529,1.1605287,5.783028,7.5999994,42.73702,16.75064,24.941721,282.8259
20220410T0000,11.850529,1.3305286,7.075945,0.0,17.518356,2.8799999,9.688346,248.1986
20220411T0000,19.190529,2.3005285,10.966781,0.0,18.448023,10.739832,14.923233,112.357765
20220412T0000,24.020529,6.2805285,15.987197,0.0,18.204042,5.95906,13.696952,123.445206
20220413T0000,23.13053,13.470529,18.402197,0.0,13.797912,2.8799999,8.797175,294.8237
20220414T0000,18.260529,12.980529,15.83303,0.1,22.59699,1.9386592,10.043969,321.41156
20220415T0000,20.360529,11.740529,15.151779,0.0,13.627795,1.1384199,5.586163,354.28943
20220416T0000,17.340528,7.3305287,11.705947,0.0,27.117346,2.4149535,11.403714,78.65162
20220417T0000,18.170528,2.0805285,10.318029,0.0,23.42491,0.71999997,11.527785,88.649315
20220418T0000,17.580528,2.2505286,11.070529,0.0,14.417988,1.835647,7.218336,86.29538
20220419T0000,18.65053,5.2005286,12.821362,0.0,16.65754,3.4152596,10.408973,35.26935
20220420T0000,18.440529,6.6205287,12.902198,0.0,23.233253,2.9024127,11.037267,95.32022
20220421T0000,19.250528,4.040529,11.580945,0.0,12.964998,1.609969,6.4826455,61.7538
20220422T0000,18.97053,5.1005287,12.571778,0.0,11.525623,2.4149535,6.6075826,337.0679
20220423T0000,17.180529,10.350529,13.609279,0.0,18.837322,6.849467,12.508176,74.50204
20220424T0000,15.690529,7.540529,11.626779,9.9,27.117346,1.8,14.425475,267.41177
20220425T0000,15.030529,9.990529,11.89928,12.200001,17.731598,0.35999998,8.3595915,267.6399
20220426T0000,14.650529,8.620529,11.339279,1.2,23.664352,3.2399998,12.341495,285.45407
20220427T0000,18.45053,6.4105287,11.985112,0.0,17.518356,2.3051248,7.975738,80.47997
20220428T0000,20.610529,5.0205283,13.056779,0.0,18.014393,0.0,9.553292,92.159134
20220429T0000,20.530529,5.7405286,14.068028,0.0,10.703569,1.0182338,6.079581,318.14496
20220430T0000,16.170528,9.210529,13.417613,0.2,20.907913,3.7064266,12.139469,336.13293
20220501T0000,17.440529,7.9505286,12.683864,0.0,14.205182,2.0991426,7.307795,358.21008
20220502T0000,19.82053,8.330529,14.522195,0.0,9.028754,0.5091169,5.943764,41.207825
20220503T0000,20.48053,9.180529,15.468029,0.0,8.12197,1.0182338,4.2736793,29.7014
20220504T0000,18.660528,11.660529,15.131362,0.70000005,14.264361,2.3051248,6.4948444,253.94577
20220505T0000,15.140529,10.380529,12.602196,6.7999997,17.58481,2.5455842,10.277788,318.9272
20220506T0000,19.280529,10.630529,14.584279,2.9999998,17.429354,2.2768397,7.405037,359.70917
20220507T0000,19.80053,10.900529,15.38428,0.2,8.4963045,0.71999997,4.805505,111.22365
20220508T0000,20.280529,10.520529,15.757195,0.3,17.31746,0.8049845,8.079149,80.98849
20220509T0000,22.910528,10.780529,17.079279,0.0,7.10031,1.2979984,4.7141676,78.593445
20220510T0000,25.15053,13.230529,19.82553,0.0,11.183201,1.0182338,6.1134434,236.74564
20220511T0000,27.940529,14.960529,21.803444,0.0,21.38897,2.2768397,12.467744,232.16441
20220512T0000,24.860529,16.180529,20.243862,0.2,20.418695,0.8049845,11.17246,277.06516
20220513T0000,24.420528,15.290529,19.49303,0.0,17.581125,3.219938,7.2233696,250.28061
20220514T0000,24.04053,13.020529,18.680529,0.0,11.631956,0.35999998,5.653768,333.90457
20220515T0000,28.170528,14.110529,21.977613,0.0,13.358861,1.484318,7.2173085,106.87937
20220516T0000,25.14053,16.70053,20.923447,1.4,13.044722,0.0,5.4541755,236.80244
20220517T0000,26.490528,15.110529,21.639696,0.0,15.725037,2.9024127,7.112803,100.754875
20220518T0000,28.57053,15.200529,22.660528,0.0,15.893093,3.8939953,11.486991,107.82673
20220519T0000,28.95053,15.090529,23.211779,2.6,13.513193,0.71999997,7.2686234,143.26448
20220520T0000,32.84053,16.170528,25.506365,0.1,29.28418,6.638072,16.624226,227.78027
20220521T0000,25.56053,16.090528,20.632612,0.1,15.629971,4.829907,9.0155115,310.91968
20220522T0000,26.72053,13.390529,21.166365,0.0,20.037485,0.35999998,9.017119,68.63673
20220523T0000,28.98053,16.23053,21.565111,3.7000003,29.59235,5.1165614,17.555346,228.20523
20220524T0000,19.79053,14.000529,16.86553,0.90000004,23.863409,1.0182338,12.578874,272.37695
20220525T0000,22.32053,12.130529,17.390114,0.0,15.034041,0.0,6.9626346,281.07388
20220526T0000,22.530529,11.080529,18.032612,0.0,17.76081,2.1897945,10.539256,267.86646
20220527T0000,23.410528,12.910529,18.950113,0.0,22.884789,5.1544156,13.384658,300.35474
20220528T0000,19.170528,11.010529,15.380113,0.0,21.26744,4.072935,12.171421,359.04883
20220529T0000,17.360529,8.010529,13.374695,0.0,19.602652,3.96,11.551278,12.047836
20220530T0000,20.340528,5.7405286,14.128445,0.0,6.4096174,0.8049845,3.890978,56.49269
20220531T0000,23.430529,10.160529,17.377613,0.0,25.6233,2.2768397,12.884418,248.09787
20220601T0000,23.600529,10.440529,18.051361,0.0,18.72,3.8773184,10.231326,174.87181
20220602T0000,25.63053,12.240529,20.161364,0.2,13.627795,2.4149535,9.330403,99.790375
20220603T0000,28.000528,16.410528,21.37928,1.4000001,22.608458,0.0,8.299641,151.96614
20220604T0000,29.410528,17.14053,23.878862,0.0,20.291357,2.0991426,9.145549,95.10602
20220605T0000,27.520529,16.270529,21.689695,2.5,22.392462,4.6938252,14.0688925,256.70636
20220606T0000,23.930529,14.670529,20.19303,0.0,18.36353,2.0991426,10.219875,250.05319
20220607T0000,20.96053,14.340529,17.735947,10.900001,18.733839,1.1384199,9.967193,250.54846
20220608T0000,22.490528,12.830529,16.965528,2.8,30.49818,2.9024127,11.051335,251.22702
20220609T0000,17.87053,12.110529,15.429696,0.5,24.251284,5.506941,14.130413,275.86777
20220610T0000,23.97053,11.220529,18.538862,0.0,9.957108,3.6179552,6.5798206,117.84758
20220611T0000,27.62053,14.530529,21.843445,0.0,11.592895,2.968636,6.3039126,119.09921
20220612T0000,30.57053,17.22053,24.286364,0.2,12.768586,3.96,7.403095,74.054596
