location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Precipitation Total,Wind Speed,Wind Direction
unit,°C,mm,km/h,°
level,2 m elevation corrected,sfc,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Precipitation Total,Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20220105T1600,3.2905285,0.0,16.575644,272.48956
20220105T1700,2.6905286,0.0,14.917212,261.67435
20220105T1800,1.8405286,0.0,14.345898,252.47443
20220105T1900,2.1805286,0.0,16.299694,263.65982
20220105T2000,2.4005284,0.0,20.211363,265.91437
20220105T2100,2.2005286,0.0,21.602999,269.04517
20220105T2200,2.1605287,0.0,19.134262,274.31604
20220105T2300,2.1705287,0.0,16.700275,277.4314
20220106T0000,2.0005286,0.0,15.546833,275.31454
20220106T0100,1.8105286,0.0,15.496736,272.66302
20220106T0200,1.5405287,0.0,19.083395,271.08093
20220106T0300,1.2905287,0.0,20.880001,270.0
20220106T0400,1.0505286,0.0,22.366402,273.6914
20220106T0500,0.8905287,0.3,25.40743,277.32642
20220106T0600,0.92052865,0.2,25.721743,276.42877
20220106T0700,0.9405287,0.1,26.525429,277.8002
20220106T0800,1.1505287,0.1,25.509243,278.9306
20220106T0900,1.6105287,0.0,25.40743,277.32642
20220106T1000,2.4705286,0.0,24.216522,281.14288
20220106T1100,3.1505284,0.0,22.19773,278.39294
20220106T1200,3.6105285,0.0,9.659814,333.43497
20220106T1300,4.2205286,0.0,9.659814,333.43497
20220106T1400,4.3305287,0.0,11.841756,340.46335
20220106T1500,4.1505284,0.0,12.413476,343.1416
20220106T1600,3.2305286,0.0,8.209263,344.74487
20220106T1700,2.6205285,0.0,4.68,360.0
20220106T1800,1.8705287,0.0,3.8268526,41.18593
20220106T1900,1.3905287,0.0,2.0991426,239.03624
20220106T2000,1.5505286,0.0,4.8965297,233.97263
20220106T2100,1.5905286,0.0,4.39436,214.99202
20220106T2200,-0.009471342,0.0,6.151683,200.55605
20220106T2300,-0.6694713,0.0,5.937272,194.03624
20220107T0000,-0.7494713,0.0,4.1046314,195.25513
20220107T0100,-0.70947134,0.0,3.6179552,174.28941
20220107T0200,-0.6194713,0.0,2.5455842,135.0
20220107T0300,-0.68947136,0.0,2.8116899,129.80557
20220107T0400,-0.32947135,0.0,1.9386592,158.1986
20220107T0500,-0.43947133,0.0,0.5091169,225.0
20220107T0600,-0.6094713,0.0,3.319036,229.39871
20220107T0700,-0.32947135,0.0,6.1305785,229.76364
20220107T0800,1.2305287,0.0,10.464797,243.43495
20220107T0900,2.5105286,0.0,21.2522,243.869
20220107T1000,3.5205286,0.0,27.155552,255.41107
20220107T1100,4.0705285,0.0,26.141552,247.31944
20220107T1200,3.6805286,0.0,19.211996,257.00537
20220107T1300,3.7705286,0.0,19.09358,225.7639
20220107T1400,3.6005285,0.4,18.947083,255.69974
20220107T1500,3.1405284,0.8,19.930477,249.92847
20220107T1600,2.6305285,0.1,25.842384,251.31265
20220107T1700,2.8005285,0.0,28.019936,249.70242
20220107T1800,2.8205285,0.0,26.944744,247.20349
20220107T1900,2.6405284,0.0,29.620802,249.36246
20220107T2000,2.5505285,0.0,29.275326,253.57071
20220107T2100,2.5105286,0.0,24.379204,253.70596
20220107T2200,2.6305285,0.0,19.33639,245.82089
20220107T2300,2.1005285,0.0,16.08761,220.46222
20220108T0000,2.9405286,0.0,17.884428,229.8991
20220108T0100,3.3005285,0.0,13.854155,204.56717
20220108T0200,2.2805285,0.2,42.730953,230.81248
20220108T0300,3.2105286,0.8,51.82625,249.67686
20220108T0400,2.6305285,0.0,45.685966,257.71603
20220108T0500,2.4205287,0.0,42.63227,265.156
20220108T0600,1.1505287,0.0,42.084602,280.3487
20220108T0700,0.030528657,0.0,44.055527,281.30994
20220108T0800,0.15052865,0.0,34.786133,276.53662
20220108T0900,1.1005287,0.0,32.431984,267.4552
20220108T1000,2.2205286,0.0,28.202042,255.96376
20220108T1100,3.4705286,0.0,21.659918,254.57785
20220108T1200,6.4105287,0.0,21.915693,255.73549
