Datum;Gasverbrauch effektiv;Gasverbrauch erwartet;Differenz Gasverbrauch (effektiv - erwartet);Prognoseintervall tief;Prognoseintervall hoch;data split
2021-09-04;3.09263539936;3.87396190910792;-0.781326509747923;1.93120254388327;5.81672127433258;Train
2021-09-05;3.4574878682;3.81534129863755;-0.357853430437553;1.86832810232751;5.7623544949476;Test
2021-09-06;3.7404657706;4.56626064012748;-0.825794869527479;2.62099226554908;6.51152901470588;Test
2021-09-09;3.21642844532;4.56400729225009;-1.34757884693009;2.61388911448242;6.51412547001776;Test
2021-09-10;3.02064093539;4.58143168856432;-1.56079075317432;2.63824104759502;6.52462232953361;Train
2021-09-18;4.0566152654;4.73397506816542;-0.67735980276542;2.79678620035646;6.67116393597438;Train
2021-09-20;6.8237551805;6.11471759321788;0.709037587282121;4.17240776307304;8.05702742336272;Test
2021-09-24;5.3004176318;5.25201246092733;0.0484051708726678;3.31282373635827;7.1912011854964;Test
2021-09-25;4.5189287284;4.21365637927666;0.30527234912334;2.27641190674638;6.15090085180694;Train
2021-09-27;4.1234347581;5.14726329970416;-1.02382854160416;3.2072125180803;7.08731408132803;Test
2021-09-28;4.4045345529;6.04565120445139;-1.64111665155139;4.10755109690146;7.98375131200132;Train
2021-10-01;5.8596603882;7.40163867701209;-1.54197828881209;5.45535453928976;9.34792281473443;Train
2021-10-04;6.3050542713;7.88716394381188;-1.58210967251188;5.94124660032117;9.83308128730258;Train
2021-10-08;6.968476059;8.0111027260091;-1.0426266670091;6.0706654718662;9.95153998015201;Test
2021-10-13;9.1098082853;9.644723247918;-0.534914962617997;7.70227872731345;11.5871677685225;Train
2021-10-19;7.3373760636;8.10541008272646;-0.768034019126465;6.16267932012542;10.0481408453275;Train
2021-10-20;6.8770448313;7.07216621717839;-0.195121385878387;5.11694967783401;9.02738275652276;Train
2021-10-21;5.9596154294;7.49926151115186;-1.53964608175186;5.53668821384277;9.46183480846095;Train
2021-10-23;9.5102160355;9.89938547252799;-0.389169437027988;7.92538565817912;11.8733852868769;Train
2021-10-27;9.0141903623;8.99001668669798;0.0241736756020217;7.01420749746507;10.9658258759309;Test
2021-10-29;9.7373853208;9.26382862505293;0.473556695747074;7.29060527719708;11.2370519729088;Train
2021-11-08;12.4304884025;12.5566659437766;-0.126177541276599;10.6085646247495;14.5047672628037;Test
2021-11-14;11.9002810553;10.3325617573738;1.56771929792625;8.37906566369912;12.2860578510484;Train
2021-11-18;14.459298161;12.920993723825;1.53830443717504;10.9744899984709;14.8674974491791;Train
2021-11-20;14.7713205191;13.8010350990584;0.970285420041574;11.8533245556076;15.7487456425093;Test
2021-11-21;16.16274908;15.1106721348621;1.05207694513794;13.1563896587637;17.0649546109604;Test
2021-11-27;15.8868876093;14.7731801497674;1.11370745953259;12.8220265275207;16.7243337720141;Train
2021-12-01;14.0878105628;13.2418192196421;0.845991343157921;11.2922007943413;15.1914376449429;Test
2021-12-03;17.6354406564;17.702494141745;-0.0670534853450206;15.7677650549799;19.6372232285102;Train
2021-12-04;14.1633220809;13.4879740375324;0.675348043367643;11.550175533122;15.4257725419427;Train
2021-12-05;15.0969008683;16.0337866154798;-0.936885747179755;14.1009050161758;17.9666682147837;Train
2021-12-07;16.6294995271;15.6074368197646;1.02206270733538;13.6713517312929;17.5435219082364;Train
2021-12-13;16.7279238933;15.9787452225143;0.749178670785659;14.0434426358103;17.9140478092184;Train
2021-12-14;18.2634839442;17.6162606014827;0.647223342717282;15.6816402793274;19.550880923638;Train
2021-12-15;18.0750824267;16.8166099629392;1.25847246376081;14.883680323996;18.7495396018824;Train
2021-12-17;17.3991448901;16.1915715926391;1.20757329746093;14.261569951712;18.1215732335662;Train
2021-12-20;17.599167666;18.3190241686411;-0.719856502641093;16.3735025044297;20.2645458328525;Train
2021-12-24;16.3802904853;14.5158287142124;1.86446177108758;12.5448899752777;16.4867674531471;Train
2021-12-26;12.9059818829;12.1273495492963;0.778632333603653;10.1525667188928;14.1021323796999;Test
2021-12-31;10.632089247;11.1281654348488;-0.496076187848795;9.15329920437003;13.1030316653276;Train
2022-01-03;10.2357869242;11.5057717782625;-1.26998485406255;9.54498452569897;13.4665590308261;Train
2022-01-05;14.1005110142;16.5292472924567;-2.42873627825671;14.5925829284303;18.4659116564831;Train
2022-01-07;17.7709561219;17.8498666358119;-0.0789105139118575;15.9155687042095;19.7841645674143;Test
2022-01-08;15.5888345121;15.0106765764438;0.578157935656236;13.0675706590235;16.9537824938641;Test
2022-01-22;17.784837013;17.3230141077393;0.461822905260675;15.3868026527465;19.2592255627322;Train
2022-01-26;20.475213355;20.4252777741232;0.0499355808768414;18.4751081005695;22.3754474476769;Test
2022-01-30;14.4460386059;13.837543379908;0.608495225992014;11.9001083770801;15.7749783827359;Train
2022-01-31;15.9037114485;15.6587522428957;0.244959205604335;13.7204030778898;17.5971014079015;Test
2022-02-06;13.5705696313;12.4589685737002;1.11160105759977;10.5097625431071;14.4081746042934;Test
2022-02-10;14.2124277107;12.9201768717861;1.29225083891389;10.9852645775729;14.8550891659993;Train
2022-02-12;15.477786078;15.6755551847123;-0.197769106712299;13.7383983427413;17.6127120266833;Train
2022-02-15;14.3852144132;13.9064413686958;0.478773044504219;11.970263219565;15.8426195178266;Train
2022-02-16;13.1541063795;11.5411689724601;1.61293740703986;9.59982215916792;13.4825157857524;Train
2022-02-17;10.7315658446;9.73177094532178;0.99979489927822;7.78982501715529;11.6737168734883;Train
2022-02-21;12.1099302493;12.8465283450693;-0.736598095769299;10.9099085706303;14.7831481195083;Train
