pm10_stundenmittelwerte_ug_m3,pm2_5_stundenmittelwerte_ug_m3,no2_stundenmittelwerte_ug_m3
441.264,406.849,1191.408
527.584,491.983,1003.574
444.051,485.089,662.654
386.829,413.91700000000003,596.682
485.4,442.042,1130.392
522.148,468.034,1079.187
342.661,353.93,876.93
365.164,386.62,690.098
372.236,367.93,980.391
306.021,312.032,831.66
342.903,329.186,912.0409999999999
408.261,348.611,1035.827
491.675,389.328,859.992
462.664,366.251,1102.389
305.939,250.59,1063.47
322.291,233.896,935.288
264.884,222.573,862.077
236.136,198.56,847.729
318.624,234.319,1064.819
458.36400000000003,303.857,1053.942
457.11,308.676,874.508
331.803,244.364,825.192
412.797,304.243,890.464
293.452,204.828,522.397
245.277,179.705,497.171
324.863,200.008,808.873
352.879,204.87,869.631
395.575,242.062,795.192
369.069,230.881,1002.8679999999999
492.043,307.868,1027.225
343.608,270.655,682.7
361.656,292.498,524.096
287.848,214.243,678.261
232.055,164.63,511.111
239.138,180.87,965.126
259.077,208.32,933.133
427.065,312.682,930.29
337.522,268.004,758.092
258.462,199.785,611.534
330.995,238.675,921.481
414.923,291.253,785.3919999999999
433.98400000000004,308.527,942.625
499.943,292.085,940.927
573.112,343.089,1197.274
558.413,368.46500000000003,957.468
389.165,294.048,575.33
542.98,337.82,850.244
618.696,353.20799999999997,904.821
711.993,391.01300000000003,871.838
720.01,428.121,800.558
448.791,301.056,691.425
284.391,187.454,563.4689999999999
402.977,223.239,575.452
549.73,284.284,939.194
703.619,340.839,1003.9060000000001
628.669,363.064,721.8389999999999
746.661,441.025,622.129
522.392,327.654,826.808
320.179,199.212,674.289
0.0,213.31300000000002,325.39
0.0,232.382,648.592
395.722,256.831,700.537
568.845,319.544,924.302
622.952,350.369,725.269
677.432,378.601,821.524
704.522,406.308,764.457
667.451,425.168,605.432
681.231,433.697,850.584
434.855,305.081,1036.719
471.674,293.895,981.454
443.932,328.522,701.816
282.967,201.498,792.899
321.887,288.395,720.139
336.025,317.217,506.452
386.833,301.966,979.371
418.70799999999997,295.89,860.93
361.336,293.685,961.605
360.437,253.459,868.514
453.563,343.70300000000003,727.988
606.957,478.658,630.6659999999999
358.75,300.469,473.121
430.221,306.307,777.102
375.318,260.546,732.677
361.328,242.365,930.367
261.57,180.976,770.71
215.787,156.745,662.34
257.38,193.807,657.771
208.118,163.311,534.373
251.395,177.229,719.996
294.852,208.786,691.789
293.175,213.385,790.502
349.201,246.693,1009.3240000000001
399.39,296.209,933.647
451.574,377.541,891.272
389.85,341.218,515.925
489.862,377.105,723.696
368.315,258.243,931.402
372.573,304.866,737.03
496.516,382.209,754.831
613.279,479.508,810.611
469.472,379.318,668.499
443.187,369.899,566.738
420.785,308.102,856.26
486.388,348.648,871.9780000000001
498.684,344.016,934.241
607.628,416.496,1007.889
642.33,495.707,1082.087
640.566,515.787,940.0
614.018,475.241,794.466
812.09,466.467,1066.3220000000001
741.471,422.322,908.515
649.681,485.784,971.4920000000001
569.021,453.945,1002.251
689.245,535.261,1219.964
803.688,559.217,1097.033
741.189,533.691,782.484
718.778,489.071,836.129
481.007,341.523,988.633
395.6,299.26,991.1759999999999
259.828,214.32,660.14
92.55199999999999,135.675,550.269
167.45,168.102,669.421
227.599,227.292,396.76800000000003
192.126,201.987,459.29
172.969,170.187,698.402
286.352,232.047,794.844
182.384,124.842,546.592
93.158,62.323,525.973
225.57,165.142,597.593
831.817,696.929,679.198
321.621,181.227,707.066
33.726,24.229,186.74099999999999
62.416,42.155,308.139
218.902,152.593,731.47
295.079,226.58100000000002,497.973
312.39300000000003,247.061,636.985
178.939,122.723,304.326
241.87,155.299,526.892
233.345,154.228,610.027
185.062,127.676,246.76600000000002
149.484,113.181,342.982
264.342,180.324,572.278
133.624,106.752,138.911
150.061,113.638,320.56
197.353,147.826,650.761
286.58299999999997,221.471,569.243
365.353,245.356,704.419
540.963,366.906,826.215
575.68,437.123,795.918
521.999,364.558,529.309
551.406,334.037,719.64
516.346,369.677,767.409
625.635,457.25,750.298
629.021,427.891,760.61
584.38,377.918,720.587
409.163,293.052,625.367
470.867,350.644,579.7860000000001
457.633,310.505,691.283
380.847,244.203,588.354
345.73900000000003,188.9,417.135
298.226,171.439,308.457
256.122,120.528,435.699
289.973,181.04399999999998,592.343
426.597,324.801,612.573
411.754,276.43,664.092
523.515,367.067,748.89
708.28,519.833,829.772
944.047,677.181,1069.14
1028.275,738.508,1318.81
1080.068,845.639,1197.233
783.497,618.462,1055.521
824.299,635.846,738.931
875.6560000000001,678.497,814.668
763.698,564.716,947.729
797.896,505.775,1268.962
650.023,350.343,1259.791
174.58700000000002,118.18,265.087
191.40200000000002,146.519,198.59199999999998
413.313,227.902,919.366
607.258,326.472,1143.114
726.4010000000001,456.2,952.285
823.206,491.744,838.11
905.492,483.477,783.253
369.562,262.539,565.741
223.38400000000001,164.567,301.805
249.235,185.035,391.484
486.781,359.411,663.4449999999999
826.484,612.466,945.614
1035.519,791.577,1073.05
1370.064,1052.077,898.285
1086.421,855.203,777.562
732.868,597.5500000000001,690.079
498.365,354.419,673.925
581.103,367.612,524.572
450.166,299.565,493.246
175.878,130.298,311.487
143.424,124.056,219.89100000000002
178.712,171.998,449.44100000000003
247.377,212.084,381.43
355.021,180.381,661.591
117.858,102.484,358.335
183.40900000000002,145.283,597.544
285.179,190.786,680.899
402.422,254.30700000000002,992.2860000000001
385.392,261.869,1047.708
288.091,220.987,592.758
253.066,156.531,686.845
333.746,200.19299999999998,737.014
386.346,217.46699999999998,921.187
454.875,240.392,1018.495
178.844,144.039,490.597
130.432,118.349,217.317
126.901,114.477,193.432
207.667,144.75300000000001,483.333
252.626,186.592,483.432
486.31,231.673,915.544
549.25,261.73199999999997,479.498
238.31799999999998,174.328,328.736
102.043,87.356,172.651
108.867,93.162,271.683
233.978,194.481,570.59
299.544,217.791,658.752
459.327,374.02,770.308
412.207,316.481,650.398
173.096,131.888,356.798
266.17199999999997,232.297,609.432
337.005,328.863,317.631
250.87199999999999,221.868,360.155
198.21800000000002,129.055,402.889
169.07,120.786,346.815
224.714,142.544,404.595
240.138,160.701,611.487
188.019,137.481,475.156
263.914,226.016,410.584
378.723,302.016,641.164
408.264,310.33299999999997,664.041
421.527,314.693,719.641
216.663,167.675,512.45
288.882,217.382,559.078
304.354,213.562,621.763
182.358,121.868,307.732
198.94400000000002,130.09,339.974
189.433,128.6,477.861
305.673,204.67,616.167
395.41200000000003,200.971,750.923
273.803,175.834,669.83
307.21,209.644,510.925
327.496,231.061,495.004
255.714,185.903,294.164
336.167,222.52100000000002,633.739
413.433,255.906,530.472
409.13,232.127,728.241
417.428,209.335,763.714
344.928,212.467,630.126
267.74399999999997,175.08,346.893
208.311,134.035,559.944
273.312,161.53,515.867
156.67600000000002,97.153,321.733
166.677,112.991,477.674
254.322,160.572,573.628
325.159,219.008,558.826
