temp,yield
14.28,725.128623750901
15.67,561.2879089399031
14.81,512.1681718217542
14.86,544.1334229645803
16.130000000000003,688.6934320751175
14.62,955.1432455094476
12.32,1022.3369289134044
11.71,538.2534928723363
8.42,1111.5866243509622
18.450000000000003,643.1422834964012
12.45,801.9348342248192
10.51,587.7961497611664
9.21,963.1658742527084
17.189999999999998,586.6045856419895
16.880000000000003,561.1773376421173
16.59,755.4627827997913
12.88,1070.208638351481
16.22,972.6809722564132
12.19,965.1363066503726
10.27,931.7116430001624
