"Jahr","Monat","Herkunftsland - Total Ankünfte","Herkunftsland - Total Logiernächte","Schweiz Ankünfte","Schweiz Logiernächte","Baltische Staaten Ankünfte","Baltische Staaten Logiernächte","Deutschland Ankünfte","Deutschland Logiernächte","Frankreich Ankünfte","Frankreich Logiernächte","Italien Ankünfte","Italien Logiernächte","Österreich Ankünfte","Österreich Logiernächte","Vereinigtes Königreich Ankünfte","Vereinigtes Königreich Logiernächte","Irland Ankünfte","Irland Logiernächte","Niederlande Ankünfte","Niederlande Logiernächte","Belgien Ankünfte","Belgien Logiernächte","Luxemburg Ankünfte","Luxemburg Logiernächte","Dänemark Ankünfte","Dänemark Logiernächte","Schweden Ankünfte","Schweden Logiernächte","Norwegen Ankünfte","Norwegen Logiernächte","Finnland Ankünfte","Finnland Logiernächte","Spanien Ankünfte","Spanien Logiernächte","Portugal Ankünfte","Portugal Logiernächte","Griechenland Ankünfte","Griechenland Logiernächte","Türkei Ankünfte","Türkei Logiernächte","Übriges Europa Ankünfte","Übriges Europa Logiernächte","Liechtenstein Ankünfte","Liechtenstein Logiernächte","Island Ankünfte","Island Logiernächte","Polen Ankünfte","Polen Logiernächte","Ungarn Ankünfte","Ungarn Logiernächte","Belarus Ankünfte","Belarus Logiernächte","Bulgarien Ankünfte","Bulgarien Logiernächte","Malta Ankünfte","Malta Logiernächte","Zypern Ankünfte","Zypern Logiernächte","Chile Ankünfte","Chile Logiernächte","Vereinigte Staaten Ankünfte","Vereinigte Staaten Logiernächte","Kanada Ankünfte","Kanada Logiernächte","Mexiko Ankünfte","Mexiko Logiernächte","Brasilien Ankünfte","Brasilien Logiernächte","Argentinien Ankünfte","Argentinien Logiernächte","Zentralamerika, Karibik Ankünfte","Zentralamerika, Karibik Logiernächte","Übriges Südamerika Ankünfte","Übriges Südamerika Logiernächte","Übriges Zentralamerika, Karibik Ankünfte","Übriges Zentralamerika, Karibik Logiernächte","Ägypten Ankünfte","Ägypten Logiernächte","Übriges Nordafrika Ankünfte","Übriges Nordafrika Logiernächte","Südafrika Ankünfte","Südafrika Logiernächte","Übriges Afrika Ankünfte","Übriges Afrika Logiernächte","Bahrain Ankünfte","Bahrain Logiernächte","Israel Ankünfte","Israel Logiernächte","Indien Ankünfte","Indien Logiernächte","Japan Ankünfte","Japan Logiernächte","Übriges Süd- und Ostasien Ankünfte","Übriges Süd- und Ostasien Logiernächte","Katar Ankünfte","Katar Logiernächte","Kuwait Ankünfte","Kuwait Logiernächte","Australien Ankünfte","Australien Logiernächte","Australien, Neuseeland, Ozeanien Ankünfte","Australien, Neuseeland, Ozeanien Logiernächte","China Ankünfte","China Logiernächte","Golf-Staaten Ankünfte","Golf-Staaten Logiernächte","Hongkong Ankünfte","Hongkong Logiernächte","Indonesien Ankünfte","Indonesien Logiernächte","Korea (Süd-) Ankünfte","Korea (Süd-) Logiernächte","Malaysia Ankünfte","Malaysia Logiernächte","Philippinen Ankünfte","Philippinen Logiernächte","Neuseeland, Ozeanien Ankünfte","Neuseeland, Ozeanien Logiernächte","Singapur Ankünfte","Singapur Logiernächte","Oman Ankünfte","Oman Logiernächte","Taiwan (Chinesisches Taipei) Ankünfte","Taiwan (Chinesisches Taipei) Logiernächte","Thailand Ankünfte","Thailand Logiernächte","Übriges Westasien Ankünfte","Übriges Westasien Logiernächte","Estland Ankünfte","Estland Logiernächte","Lettland Ankünfte","Lettland Logiernächte","Litauen Ankünfte","Litauen Logiernächte","Saudi-Arabien Ankünfte","Saudi-Arabien Logiernächte","Vereinigte Arabische Emirate Ankünfte","Vereinigte Arabische Emirate Logiernächte","Serbien und Montenegro Ankünfte","Serbien und Montenegro Logiernächte","Kroatien Ankünfte","Kroatien Logiernächte","Rumänien Ankünfte","Rumänien Logiernächte","Russland Ankünfte","Russland Logiernächte","Slowakei Ankünfte","Slowakei Logiernächte","Slowenien Ankünfte","Slowenien Logiernächte","Tschechien Ankünfte","Tschechien Logiernächte","Ukraine Ankünfte","Ukraine Logiernächte","Serbien Ankünfte","Serbien Logiernächte"
"2009","August",1876038,4156948,834422,1684221,2328,4628,292899,732310,84149,186776,81086,190533,25317,52435,72960,188087,3102,7657,65531,149871,31603,109056,5744,17092,5677,12570,5909,12387,3104,6305,3061,7608,39841,81898,4393,10135,7822,16842,2348,5321,10815,24863,1514,3292,917,2006,4750,11352,5255,11918,699,2030,1908,3653,...,...,...,...,355,907,66223,142391,9579,19039,...,...,4277,10636,947,2713,2423,5572,1719,4486,...,...,1066,3708,1654,4539,1579,4079,3327,8987,...,...,11344,33814,15100,32784,48105,81837,4441,9727,...,...,...,...,...,...,9714,19953,18208,26038,21755,88126,3809,5995,763,1554,10359,14425,761,1531,367,922,...,...,2745,6115,...,...,3511,5111,2173,3675,1980,5841,...,...,...,...,...,...,...,...,...,...,790,2135,1054,2773,5440,11653,13107,35747,1288,3308,1192,2561,5573,13671,2156,5749,...,...
"2009","September",1621888,3415644,789269,1571127,1389,3348,248366,613910,60379,110374,44028,77461,20758,42776,67761,160606,2977,6899,32461,74146,18140,51211,3586,9400,5457,11670,8378,16093,3955,9345,3235,6616,21926,46315,3698,8849,3577,8497,2766,6428,8322,18655,1072,2159,453,1001,4417,11323,3479,8035,403,1154,1433,3124,...,...,...,...,507,1245,77014,164042,11554,24649,...,...,6406,14940,1395,3386,3230,7750,2186,5579,...,...,999,2986,1254,3306,2036,5382,3732,10410,...,...,6157,14434,12159,27531,37268,59562,3809,8733,...,...,...,...,...,...,13308,27361,20566,29401,6248,18577,3471,5359,2962,5438,5911,9059,1705,3219,467,1365,...,...,3881,8242,...,...,3547,5156,3246,5561,1698,5266,...,...,...,...,...,...,...,...,...,...,795,2297,961,2492,2702,6342,10916,26558,1024,2671,1245,2429,4220,9719,1624,4675,...,...
"2009","Oktober",1267800,2645745,658074,1345400,1007,2882,171685,395043,51764,91281,40245,71287,14019,28878,43340,88895,2368,5546,18800,41624,10307,18394,2042,4419,3735,7729,6003,12635,2835,7012,2819,5938,15283,30923,3108,7510,3078,7171,2605,6182,6094,14085,1013,2018,546,1009,3292,8815,2605,6192,271,660,1024,2326,...,...,...,...,508,1275,47310,107672,8061,18231,...,...,6020,14885,1175,3096,2543,6941,1792,4635,...,...,1086,3717,1689,4530,1484,4275,4279,11743,...,...,5201,11618,8477,20589,18680,31338,3639,8892,...,...,...,...,...,...,8766,19110,25423,35932,6250,22232,4018,5978,707,1688,6088,9206,1247,3442,413,1355,...,...,4077,8526,...,...,2779,4222,6040,9235,2137,5889,...,...,...,...,...,...,...,...,...,...,859,1957,945,2522,2175,6103,10205,26262,748,2632,1068,2456,2472,5732,1477,3975,...,...
"2009","November",880617,1696201,427168,781712,889,2406,113166,222213,46215,78222,36892,64089,11922,23576,37362,70470,1989,4295,12304,22945,9999,18776,1826,3847,3331,6308,4623,8570,2112,4780,2113,4428,12495,24662,3276,7547,3000,7042,3317,7416,5288,10313,732,1484,311,557,3290,8864,1937,5077,247,620,1191,2772,...,...,...,...,275,789,30915,75291,4952,11507,...,...,3906,9889,638,1878,1973,5824,1297,3323,...,...,940,3150,1451,4010,1267,3501,3817,10081,...,...,2781,6128,4952,13436,9316,15495,2979,7072,...,...,...,...,...,...,4258,9306,15066,21207,5379,17112,2036,3100,1072,1904,4466,6413,1265,3047,543,1525,...,...,5194,9911,...,...,1591,2362,2119,3576,1450,4299,...,...,...,...,...,...,...,...,...,...,884,2237,823,2221,2217,6001,8759,24075,806,2306,598,1481,2116,5316,1521,4437,...,...
"2009","Dezember",1039895,2507384,484062,1032450,1174,3388,143503,418436,53485,114754,55949,116943,9535,20308,50090,143182,2555,7362,23561,88466,16820,68374,4089,15507,3121,8069,4440,11158,1892,4480,2093,5746,13760,32419,3017,7089,6936,20513,2381,5737,5685,14886,712,1503,343,820,3899,15622,1605,4171,358,803,888,2377,...,...,...,...,194,738,29318,75328,4387,11831,...,...,4000,10753,475,1460,1660,5054,1380,4187,...,...,875,2890,1273,3624,2135,6908,2858,7739,...,...,2957,7838,4549,11204,7762,13840,2487,6539,...,...,...,...,...,...,8127,18569,13217,18477,4523,17120,2956,4549,2708,5269,4495,6724,2398,4876,285,966,...,...,11199,20189,...,...,1351,2303,3457,6067,1404,4326,...,...,...,...,...,...,...,...,...,...,756,1874,739,1914,2165,6851,12503,37635,732,2280,621,1510,2043,5699,1953,5690,...,...
"2010","Jahrestotal",16202574,36207812,7574290,15765304,...,...,2237941,5816520,700578,1449278,520542,1074447,195190,413575,732050,1853557,30499,72489,383039,989543,240784,742277,44480,134324,59916,137162,85130,200577,44873,108990,40149,97015,221311,449824,44723,107642,44591,115528,35828,88956,68521,160114,13044,26379,4689,10966,51020,143288,35030,83597,6254,17161,14970,38124,3266,11521,3322,9622,4655,11737,680216,1506435,98772,225140,...,...,66845,168771,12957,33417,32219,85920,20829,55315,...,...,11430,38801,15931,46627,22695,63678,39119,118471,...,...,61183,155512,165999,392852,297562,507138,46137,106529,...,...,...,...,98374,217688,...,...,286420,404218,122958,423438,46051,73207,19660,38327,94110,135377,21618,44590,6214,17138,16618,35338,51431,104563,...,...,37600,54975,51907,85851,22598,65631,7568,20244,4053,11585,5382,12736,...,...,...,...,...,...,10369,26664,30561,83536,157085,467884,11634,29822,12161,26150,42106,104170,23338,65851,10179,24706
"2010","Januar",1075731,2824863,539765,1251024,...,...,153073,506452,45393,102152,39336,100277,11069,26608,53743,156622,2532,6434,18919,63286,15583,59209,3880,14069,4551,11543,6261,16876,2673,7240,2849,7389,11971,28980,2776,7298,4451,14727,3618,10593,5966,15453,845,1949,275,610,4213,14700,1613,4457,524,1932,928,2510,46,129,169,524,323,1224,31431,78754,5133,12903,...,...,5582,16370,677,2124,1900,5187,1400,3917,...,...,782,2372,1052,3066,1797,6664,2255,6426,...,...,3553,9573,2934,8409,6606,14334,2635,6746,...,...,...,...,6627,17239,...,...,9782,15681,4282,14868,1982,3448,592,1251,5026,8070,808,1971,283,745,1246,3325,2835,6220,...,...,1276,2111,1668,3424,1509,4989,703,3108,210,873,242,703,...,...,...,...,...,...,823,2615,2022,6456,22074,94443,618,1921,773,2180,1995,5700,2480,10327,793,2083
"2010","Februar",1136889,3257066,546033,1489928,...,...,163924,504592,62347,168565,37292,88531,11565,28397,65129,216190,2647,6743,38454,149995,23560,101320,6185,26726,5416,17018,8686,24597,4687,14755,3716,11172,11382,26220,3428,9270,2787,7744,3033,9297,4816,12743,835,2076,353,1045,4145,15121,1629,4536,519,2678,958,3112,242,855,240,747,270,633,28499,75622,4876,13176,...,...,4007,11592,581,1771,1580,5095,971,2681,...,...,778,2538,1393,3891,1253,3921,2733,8086,...,...,3526,10119,3013,8208,6913,14424,2110,5387,...,...,...,...,3035,8337,...,...,16767,22498,4522,16549,3157,5581,358,998,3821,5834,1049,2377,252,762,757,1867,2021,4542,...,...,1687,2507,1075,2449,1180,3681,708,2287,274,872,252,951,...,...,...,...,...,...,735,2376,1917,6520,10630,36413,781,2545,725,1891,2385,7449,1546,4800,744,1863
"2010","März",1251923,3249889,590619,1377560,...,...,200546,631805,56678,139987,42928,94640,16012,39698,64830,193963,3091,8029,24421,77737,19182,75035,3792,11307,5173,13972,11186,36783,4711,13268,4392,11698,16248,36115,3913,10195,3976,10646,2965,7454,5980,14946,1001,1920,300,791,5055,18360,2438,6209,575,1489,1215,3133,308,1030,243,681,250,600,40397,103073,7056,18375,...,...,3611,10528,823,2369,2200,6613,1544,4832,...,...,792,2703,1384,4208,1900,5655,3300,9327,...,...,4806,12778,4990,13536,10303,21258,3183,8270,...,...,...,...,3741,9526,...,...,12439,24405,5061,16183,3349,7517,1105,2706,5187,8172,1264,3190,502,1342,736,1826,3916,9026,...,...,2042,3492,4348,7367,1814,5323,414,1204,417,1587,526,1285,...,...,...,...,...,...,1098,2777,2550,7483,13933,46183,1202,3462,893,2398,4088,12370,2169,6552,812,1937
"2010","April",1074035,2397071,508260,1041679,...,...,152033,415088,51529,99869,38758,72795,13043,26105,48813,130281,1835,4220,20070,41104,21251,78886,2717,8055,3331,7601,5944,14290,2470,5675,2857,6639,13636,28878,3118,8372,3368,8465,2915,6647,5204,12846,822,1658,306,714,3969,9730,2219,5514,268,675,1088,2831,167,836,184,469,256,571,35672,82202,6378,14461,...,...,5277,12766,823,2082,2240,6390,1327,3557,...,...,719,2519,1116,3495,1349,3918,2529,7462,...,...,3529,8021,11207,26025,9358,15675,2674,6048,...,...,...,...,5635,12578,...,...,17396,25576,5370,17177,2440,4133,1149,2262,6492,9562,1440,3228,1023,2507,857,1989,2179,4871,...,...,2895,4533,10332,16244,1627,4219,388,915,319,889,272,665,...,...,...,...,...,...,862,1941,1852,5491,9549,25339,823,2092,1152,2026,3104,7681,1374,3997,876,2042
"2010","Mai",1287452,2517362,570264,1055911,...,...,186439,403335,53900,94069,36733,63000,17076,34560,54720,111535,2282,4935,28510,63430,13131,24107,3291,7357,4306,8637,6288,12190,2958,6486,3218,6482,16701,30553,3430,8472,2800,7072,2844,6354,6211,13081,1120,2168,402,898,4144,9159,3029,6946,564,1048,1432,3269,488,1732,188,531,540,1354,63886,134697,9591,19892,...,...,6642,15065,1349,3061,2773,6828,1747,4279,...,...,798,2511,1679,4411,2076,5658,3890,10344,...,...,3904,8807,35027,82108,20373,30902,5275,9846,...,...,...,...,10060,20607,...,...,24196,32127,5971,18683,3956,5470,1289,2731,9978,13536,2299,4390,800,1922,1557,3119,4442,8833,...,...,3785,5314,6288,9929,1657,4308,392,1098,306,801,477,975,...,...,...,...,...,...,922,1975,2339,6118,12133,29417,945,2079,1131,2101,3437,7077,2018,4928,1055,2744
"2010","Juni",1556381,3222920,671017,1281536,...,...,215766,511214,59687,109871,42064,78814,20239,41044,74863,179698,2728,6333,33874,82856,22453,52567,3064,7069,5883,12972,6675,13408,4000,7764,4163,8932,19744,39747,4149,9733,3433,8298,3107,7859,6787,16298,1179,2349,630,1387,4587,11398,4258,9415,538,1095,1402,3402,178,1109,219,583,587,1450,95781,203960,11501,27008,...,...,6089,15244,1421,3761,3959,11101,2534,6926,...,...,1065,3729,1376,3967,2502,6561,5032,14589,...,...,5359,12925,31041,73293,51157,85379,4511,11188,...,...,...,...,11981,26451,...,...,28516,41245,10431,33672,4373,7372,3024,5714,9360,13555,2353,5130,540,1978,2562,5140,6373,12582,...,...,4606,6376,3569,6663,1979,6035,331,834,441,1015,530,1208,...,...,...,...,...,...,1033,2450,2796,7242,11855,29736,1015,2395,1484,2832,3867,8582,1953,4813,807,2068
"2010","Juli",1955557,4279435,851137,1786678,...,...,245103,597092,75453,149877,51225,107413,22216,45477,82055,201527,3135,7850,76529,160392,40669,121701,4115,10936,9871,19463,9077,17297,8286,15958,5066,10671,28297,53727,4939,10997,4112,9708,2657,6134,7811,17352,1558,3161,369,760,5415,12309,5273,12145,584,1700,1493,4633,343,1674,565,1585,457,1289,98577,205179,12112,26490,...,...,6937,16374,1333,3294,4593,11455,2134,5576,...,...,1647,5355,1524,4799,2119,5608,3838,10450,...,...,7751,21045,21523,48175,74185,126847,6378,14583,...,...,...,...,13285,29306,...,...,34174,47547,43476,158428,5615,8661,1921,3438,13775,19155,1474,2854,352,1122,2055,4495,3643,8604,...,...,4385,6437,3808,6610,2948,8106,1232,3304,500,993,832,1632,...,...,...,...,...,...,770,1942,3636,8387,14274,36752,1172,2628,1162,2483,5645,13852,2184,5984,778,1979
"2010","August",1887475,4117394,827134,1675779,...,...,277384,695201,84852,185447,71231,170194,25241,52598,77856,192792,2957,6982,62154,143605,33919,101146,5802,16902,5752,11913,6980,14156,3390,8878,2966,9443,40991,81028,5298,10728,5477,11976,2174,5194,6869,15843,1489,2950,605,1390,4856,11028,4950,11296,631,1610,1709,3693,547,1321,546,1872,406,850,75942,160855,10164,20761,...,...,4995,11644,1319,3338,2858,6721,1946,4781,...,...,858,3143,1137,3895,1790,4625,3022,8179,...,...,10392,30523,18372,40810,53184,88633,4551,9686,...,...,...,...,10246,21080,...,...,39795,51823,13943,56717,6139,8892,986,1838,12758,17515,1020,2160,323,932,2004,3775,2350,5207,...,...,4384,6457,2525,4379,2198,5890,1061,2423,357,878,659,1321,...,...,...,...,...,...,776,1963,4390,10355,15456,42813,1677,4140,1368,2737,5577,13737,2099,5329,688,1624
"2010","September",1677924,3461857,803808,1558102,...,...,233579,575379,58862,107011,40927,73570,22063,45458,75843,174863,2846,6705,28940,66442,18135,49508,3571,9467,5254,11432,8231,16967,4268,9898,3602,7953,21012,40609,3969,9442,3115,7479,3333,8263,6698,14343,1323,2501,518,1176,4909,11111,3575,8126,630,1347,1501,3532,244,744,226,600,566,1270,92223,189730,13539,27939,...,...,7954,18222,1955,4407,3307,8054,2177,5412,...,...,1202,4336,1415,4113,2691,6358,3050,9849,...,...,7097,16181,14493,33962,33026,54023,4812,10704,...,...,...,...,14463,29291,...,...,33938,47134,12073,34514,4513,6527,4615,7667,9566,13359,2417,4336,697,1888,2210,4084,4069,8233,...,...,4858,6711,3704,6204,2621,7478,722,1520,410,1161,568,1484,...,...,...,...,...,...,934,2443,2655,7234,12847,32073,1135,2820,1130,2467,4433,9682,1944,4753,913,2206
"2010","Oktober",1317370,2678652,686656,1369500,...,...,161235,365742,53233,95995,39089,68027,14483,29431,47113,93383,2337,5128,17279,38559,10442,19581,2394,4735,4226,8631,6231,12484,3307,9610,3086,6909,16099,30644,3589,8092,2962,6709,2473,5856,4389,9638,1155,2227,334,816,3230,8207,2693,5868,395,805,989,2302,265,587,173,433,493,1272,51564,114580,8827,19609,...,...,7382,17618,1500,3709,2802,7435,2073,5276,...,...,944,3383,1289,3837,1576,4135,3920,13653,...,...,4300,9084,12966,31264,16020,26105,4538,10218,...,...,...,...,8523,18253,...,...,33832,44534,6567,20233,4710,6615,1272,2782,8639,12373,2273,4750,693,1900,1298,2629,4442,8754,...,...,3843,5280,7523,11567,1724,5151,597,1293,307,845,305,716,...,...,...,...,...,...,1011,2538,2222,5812,10475,25570,778,1859,1071,2209,2741,5934,1502,3788,971,2190
"2010","November",927559,1776454,457124,818343,...,...,113921,228490,47258,81444,33360,59994,12367,23741,38290,72347,2196,4394,12870,23964,9684,17786,1849,3628,3237,6228,5129,10006,2320,4959,2227,4464,12178,24182,2967,7259,2753,6472,4384,9658,3696,7663,894,1774,291,762,3167,8770,1867,4785,291,1035,1203,2985,146,448,286,644,280,683,33614,79440,5133,12294,...,...,4219,11424,720,2301,2021,6042,1370,3664,...,...,931,3051,1355,3620,1301,3354,2922,11198,...,...,3390,7268,5832,15158,8990,16206,2905,7607,...,...,...,...,4053,8939,...,...,20225,29703,6365,18855,2871,4305,840,2004,5285,7885,2448,4805,436,1233,639,1519,4733,8858,...,...,2108,3247,2936,4625,1722,5434,724,1513,279,824,345,767,...,...,...,...,...,...,708,1759,2166,5635,10663,28630,852,2036,687,1478,2575,5621,2034,5291,927,1953
"2010","Dezember",1054278,2424849,522473,1059264,...,...,134938,382130,51386,114991,47599,97192,9816,20458,48795,130356,1913,4736,21019,78173,12775,41431,3820,14073,2916,7752,4442,11523,1803,4499,2007,5263,13052,29141,3147,7784,5357,16232,2325,5647,4094,9908,823,1646,306,617,3330,13395,1486,4300,735,1747,1052,2722,292,1056,283,953,227,541,32630,78343,4462,12232,...,...,4150,11924,456,1200,1986,4999,1606,4414,...,...,914,3161,1211,3325,2341,7221,2628,8908,...,...,3576,9188,4601,11904,7447,13352,2565,6246,...,...,...,...,6725,16081,...,...,15360,21945,4897,17559,2946,4686,2509,4936,4223,6361,2773,5399,313,807,697,1570,10428,18833,...,...,1731,2510,4131,6390,1619,5017,296,745,233,847,374,1029,...,...,...,...,...,...,697,1885,2016,6803,13196,40515,636,1845,585,1348,2259,6485,2035,5289,815,2017
"2011","Jahrestotal",16228987,35486256,7694682,15752367,...,...,2038680,5207892,680932,1394166,489182,1007519,190153,400266,682117,1699747,28805,65265,337592,847438,215240,678517,40563,115021,57611,133762,86203,203516,43975,104576,38342,95284,229103,451463,46284,110019,41097,101562,36193,89922,52705,118132,12398,26286,5020,11494,49148,150097,33746,84364,5932,15010,14449,38356,3395,10228,3342,9234,5472,13898,668961,1492131,99509,228137,18895,45220,79080,194492,14634,37851,...,...,21518,59286,16314,44084,11423,37097,15931,51124,23457,67438,34719,124588,5044,13510,64756,163041,200624,460440,275923,479743,50687,117900,13876,40154,15368,47769,106439,235603,...,...,452724,595264,...,...,50610,81956,30691,55797,115733,167866,25557,50573,7499,18651,15367,35047,55310,109974,3815,12631,56767,74200,56919,93402,22585,70626,7185,16349,5726,15057,6072,14275,47672,163968,47267,140577,...,...,9717,26760,30523,86785,179168,513754,12323,36284,11105,25712,42803,105436,25305,72607,11025,27696
"2011","Januar",1131932,2884526,576182,1299990,...,...,154899,501567,48596,105202,40215,97307,11180,25213,52708,151628,2629,5775,19741,61785,18445,74245,3479,11632,3626,8632,6798,17766,3159,7770,2577,7065,12445,28073,2954,6840,4190,12114,3351,8792,4033,10117,853,1810,420,1090,3738,13154,1714,4824,560,2160,970,3185,241,762,303,838,340,1264,33815,81807,5526,13410,942,2141,7005,19608,976,2453,...,...,1361,3771,1059,2883,824,2704,1154,3175,2192,7475,2029,6884,314,625,3759,9784,3275,9716,6370,14101,3147,7115,741,1217,208,843,7609,19878,...,...,10507,17233,...,...,2045,3741,1029,2656,6462,9995,754,1929,262,744,964,2444,2381,5403,152,522,1415,2019,2264,4059,1710,5019,409,1686,337,1330,334,1011,1692,6954,1791,5496,...,...,913,3331,2176,6946,23804,97998,784,2135,748,1998,2444,6752,3042,10816,861,2119
"2011","Februar",1130048,3013325,557094,1397185,...,...,144070,414600,60648,161543,34188,74879,11321,27353,63996,205462,2795,6460,33730,123242,16314,59317,6068,25361,5886,16807,9796,28316,4400,13776,3576,10985,12124,27199,3198,8037,2800,7447,3629,11726,4137,11098,881,2154,579,1398,4617,16487,2132,5779,472,1385,1092,3073,428,1739,206,670,253,603,31351,82836,5696,16309,855,2454,3365,9832,937,2409,...,...,1120,3259,890,2709,561,2211,1358,3849,1404,4823,2372,8585,517,883,3688,9161,3294,9799,8080,17049,2551,6303,573,1557,624,2040,3136,8731,...,...,18088,24610,...,...,3180,5942,656,1552,5049,7304,1105,2487,266,1088,901,2603,3484,6917,252,1260,1263,1881,1941,4034,1430,4237,526,1864,421,1428,468,1365,1946,7709,1830,6428,...,...,791,2402,2259,7284,13902,40176,932,3112,900,2438,2880,8237,1800,5502,976,2585
"2011","März",1270562,3327747,601596,1432555,...,...,188298,603770,59066,144207,45219,103236,15018,37254,58315,162806,2680,6794,25277,91847,25456,103057,2950,8476,5218,13837,11610,36257,4890,13725,3998,11273,14449,33034,3954,11171,3924,9805,3334,8768,4569,10834,1006,2513,373,931,5508,16980,2333,5945,593,1868,1239,3605,377,1096,299,889,382,1093,43112,107250,7673,19549,1163,3243,5662,16370,990,2804,...,...,1427,3932,1003,3147,774,2673,1558,5325,1821,5844,2739,9717,235,760,5213,14220,6657,18601,9737,20934,3194,8239,1204,2406,522,1397,4109,10313,...,...,17780,29312,...,...,3034,7031,2197,4091,5327,9185,1909,3968,404,1235,660,1624,3317,7657,192,769,2726,4045,5221,9527,1745,5191,584,1543,662,2111,497,1292,1705,7482,2172,6864,...,...,937,2706,2478,7739,16950,53903,1078,3201,878,2259,4180,11680,2248,6647,957,2335
"2011","April",1140524,2410628,537947,1066079,...,...,147741,371373,50242,94538,35851,65035,14131,30103,50759,124301,1979,4635,16746,34462,15408,53588,2829,7733,3899,8346,6667,15915,2897,6929,3067,7630,17544,34458,3877,9426,3191,8224,2506,6401,3982,8650,862,1555,259,657,3686,11758,2272,5363,431,1082,1204,2854,190,464,242,541,355,826,41351,90877,7164,16410,1633,3837,6631,14308,1139,2877,...,...,1643,4279,1017,2560,820,2594,1118,3586,1706,4758,2705,9161,294,870,4223,9766,15456,33742,9735,15981,3485,7927,721,2099,640,1899,6621,13856,...,...,30962,40750,...,...,4540,7230,2335,4093,9227,12518,2707,5057,940,1991,868,1904,3867,7932,101,366,3475,4671,13634,19086,1474,4470,252,608,487,1134,337,1030,2785,10875,2166,6520,...,...,852,2057,1922,5860,11465,29546,915,2933,841,1738,2878,6978,1708,4551,920,2417
"2011","Mai",1269555,2505390,546071,1013910,...,...,161937,353008,50989,88892,34499,61644,17015,33780,54275,114485,2438,5185,22953,49061,11913,21493,2766,5385,4249,8956,6652,13084,3092,6353,3287,6538,17003,31167,3523,8464,2599,5870,3272,7580,4296,8898,1133,2745,709,1481,4104,10916,3422,8509,465,938,1463,3710,198,463,225,508,705,1554,66718,142784,9842,22148,1561,3738,8540,19043,1781,4227,...,...,1858,5244,1466,3856,907,3184,1320,4088,1753,4705,3522,13518,222,613,4384,9230,47747,112157,17674,28972,5901,12603,899,2406,602,1503,11028,22849,...,...,35981,48402,...,...,4334,6567,2682,4779,13709,19370,2629,5020,869,1964,1429,3410,4486,9004,220,658,6381,8018,8310,13069,1945,6093,318,710,384,1089,432,979,2971,10608,2765,7301,...,...,809,1946,2225,6276,14678,36117,1169,4572,1095,2394,3543,7506,2116,5432,1097,2661
"2011","Juni",1634396,3321145,722657,1364328,...,...,212956,497824,60228,109487,41572,78233,20965,41999,68252,163556,2552,5647,32796,78206,18875,47602,3756,9020,5248,11317,6840,14356,4296,8331,3745,8130,21415,40087,4573,10711,3836,8454,2964,7310,4998,10550,1207,2634,441,925,4723,12374,4117,8847,761,1545,1310,3428,271,909,194,591,660,1856,90853,199031,11294,24289,2131,5180,7640,19116,1809,5070,...,...,2351,7151,1902,5492,1104,3385,1382,4277,2692,7218,3455,13861,567,1436,6391,13891,41501,87587,42269,70075,5023,12513,1227,3706,1717,4463,13590,28679,...,...,47619,61988,...,...,5715,9052,3470,6738,11562,17352,2942,5548,584,2214,2107,5171,9045,15956,440,1463,8550,11082,4191,7630,1986,5769,1463,2547,629,1296,947,1850,5612,17570,5238,14596,...,...,840,2317,2682,8065,13840,34181,1208,3375,1504,3177,4074,9543,2111,5633,931,2355
"2011","Juli",1928381,4140223,844268,1739900,...,...,219565,531460,72559,143691,45119,99338,22094,45831,74287,182109,2517,6136,68379,137348,35875,111188,3564,8405,9483,19381,9333,19079,7203,15008,4842,12888,28936,52875,4252,10000,3644,8665,2861,6473,5122,11672,1261,2699,370,813,4998,13629,4766,11451,583,1294,1598,3497,272,763,378,949,674,1556,97037,206637,12919,28217,3121,6542,9288,21171,1564,4087,...,...,2070,5169,1763,4089,1745,5324,1603,4855,2671,7410,3038,11039,1375,4371,8137,22017,25371,55826,71194,122269,6807,14982,3475,12620,5485,18571,14595,33457,...,...,61991,77170,...,...,6332,10010,2309,4145,16743,23480,2041,3763,545,1612,2244,4820,3489,7467,1291,4044,8774,11572,4318,7160,3108,10777,703,1503,822,1496,871,1556,17576,61919,12568,43598,...,...,683,1966,3235,7889,15852,40021,1312,3332,860,1855,5384,13120,2466,7129,803,2068
"2011","August",1805928,3863314,822020,1649836,...,...,237168,604107,77101,170407,61042,145373,22184,45725,70364,172775,2500,5768,48249,111051,26325,95140,4770,13155,5238,12654,5765,12077,3039,6563,2648,6460,37371,73243,4874,10900,4368,10658,2889,6090,6556,13406,1253,2541,319,873,4484,11785,4294,10350,354,852,1290,3006,489,1407,513,1529,463,1113,67742,142763,10391,20949,1942,4329,6164,14397,1250,3108,...,...,2704,6018,1473,3233,770,2461,876,2967,1630,4148,2513,9347,330,723,10387,31321,19403,42449,47588,81405,4782,10080,812,1871,910,2054,10853,21860,...,...,71703,85847,...,...,6590,9905,3713,5956,15508,21142,1870,3383,585,1288,1754,3733,2739,5952,146,406,6687,8907,2792,4544,1977,5760,492,827,597,1221,752,1490,1883,5847,4362,10781,...,...,797,1981,3786,9023,15898,44320,1246,3284,1419,2657,5289,13128,2211,5783,682,1822
