"Jahr","Monat","Herkunftsland - Total Ankünfte","Herkunftsland - Total Logiernächte","Schweiz Ankünfte","Schweiz Logiernächte","Baltische Staaten Ankünfte","Baltische Staaten Logiernächte","Deutschland Ankünfte","Deutschland Logiernächte","Frankreich Ankünfte","Frankreich Logiernächte","Italien Ankünfte","Italien Logiernächte","Österreich Ankünfte","Österreich Logiernächte","Vereinigtes Königreich Ankünfte","Vereinigtes Königreich Logiernächte","Irland Ankünfte","Irland Logiernächte","Niederlande Ankünfte","Niederlande Logiernächte","Belgien Ankünfte","Belgien Logiernächte","Luxemburg Ankünfte","Luxemburg Logiernächte","Dänemark Ankünfte","Dänemark Logiernächte","Schweden Ankünfte","Schweden Logiernächte","Norwegen Ankünfte","Norwegen Logiernächte","Finnland Ankünfte","Finnland Logiernächte","Spanien Ankünfte","Spanien Logiernächte","Portugal Ankünfte","Portugal Logiernächte","Griechenland Ankünfte","Griechenland Logiernächte","Türkei Ankünfte","Türkei Logiernächte","Übriges Europa Ankünfte","Übriges Europa Logiernächte","Liechtenstein Ankünfte","Liechtenstein Logiernächte","Island Ankünfte","Island Logiernächte","Polen Ankünfte","Polen Logiernächte","Ungarn Ankünfte","Ungarn Logiernächte","Belarus Ankünfte","Belarus Logiernächte","Bulgarien Ankünfte","Bulgarien Logiernächte","Malta Ankünfte","Malta Logiernächte","Zypern Ankünfte","Zypern Logiernächte","Chile Ankünfte","Chile Logiernächte","Vereinigte Staaten Ankünfte","Vereinigte Staaten Logiernächte","Kanada Ankünfte","Kanada Logiernächte","Mexiko Ankünfte","Mexiko Logiernächte","Brasilien Ankünfte","Brasilien Logiernächte","Argentinien Ankünfte","Argentinien Logiernächte","Zentralamerika, Karibik Ankünfte","Zentralamerika, Karibik Logiernächte","Übriges Südamerika Ankünfte","Übriges Südamerika Logiernächte","Übriges Zentralamerika, Karibik Ankünfte","Übriges Zentralamerika, Karibik Logiernächte","Ägypten Ankünfte","Ägypten Logiernächte","Übriges Nordafrika Ankünfte","Übriges Nordafrika Logiernächte","Südafrika Ankünfte","Südafrika Logiernächte","Übriges Afrika Ankünfte","Übriges Afrika Logiernächte","Bahrain Ankünfte","Bahrain Logiernächte","Israel Ankünfte","Israel Logiernächte","Indien Ankünfte","Indien Logiernächte","Japan Ankünfte","Japan Logiernächte","Übriges Süd- und Ostasien Ankünfte","Übriges Süd- und Ostasien Logiernächte","Katar Ankünfte","Katar Logiernächte","Kuwait Ankünfte","Kuwait Logiernächte","Australien Ankünfte","Australien Logiernächte","Australien, Neuseeland, Ozeanien Ankünfte","Australien, Neuseeland, Ozeanien Logiernächte","China Ankünfte","China Logiernächte","Golf-Staaten Ankünfte","Golf-Staaten Logiernächte","Hongkong Ankünfte","Hongkong Logiernächte","Indonesien Ankünfte","Indonesien Logiernächte","Korea (Süd-) Ankünfte","Korea (Süd-) Logiernächte","Malaysia Ankünfte","Malaysia Logiernächte","Philippinen Ankünfte","Philippinen Logiernächte","Neuseeland, Ozeanien Ankünfte","Neuseeland, Ozeanien Logiernächte","Singapur Ankünfte","Singapur Logiernächte","Oman Ankünfte","Oman Logiernächte","Taiwan (Chinesisches Taipei) Ankünfte","Taiwan (Chinesisches Taipei) Logiernächte","Thailand Ankünfte","Thailand Logiernächte","Übriges Westasien Ankünfte","Übriges Westasien Logiernächte","Estland Ankünfte","Estland Logiernächte","Lettland Ankünfte","Lettland Logiernächte","Litauen Ankünfte","Litauen Logiernächte","Saudi-Arabien Ankünfte","Saudi-Arabien Logiernächte","Vereinigte Arabische Emirate Ankünfte","Vereinigte Arabische Emirate Logiernächte","Serbien und Montenegro Ankünfte","Serbien und Montenegro Logiernächte","Kroatien Ankünfte","Kroatien Logiernächte","Rumänien Ankünfte","Rumänien Logiernächte","Russland Ankünfte","Russland Logiernächte","Slowakei Ankünfte","Slowakei Logiernächte","Slowenien Ankünfte","Slowenien Logiernächte","Tschechien Ankünfte","Tschechien Logiernächte","Ukraine Ankünfte","Ukraine Logiernächte","Serbien Ankünfte","Serbien Logiernächte"
"2005","Oktober",1142973,2437899,607019,1276816,1427,3900,152076,359334,43262,79651,37267,67961,11378,23523,43255,90358,1787,3783,15885,34107,9413,18525,1658,3465,3525,7072,5547,10942,2349,7108,2329,5261,13033,25856,2428,6595,3041,7026,1940,4700,7463,15193,956,1824,361,718,2318,5819,1765,4600,239,506,1237,2724,...,...,...,...,390,1025,50911,115536,6891,16301,...,...,3911,11008,918,2433,2823,7372,1885,4998,...,...,567,1858,1490,4725,2179,5574,2811,9612,...,...,4371,9379,4904,14304,20657,38030,4743,9380,...,...,...,...,...,...,7826,16609,12077,17161,2464,7307,2179,3348,621,1591,9444,12850,1076,2578,332,1070,...,...,1770,3842,...,...,3474,5069,4457,6952,1814,4543,...,...,...,...,...,...,...,...,...,...,1050,2407,770,1883,1541,4517,5609,16603,649,1816,665,1389,1854,4616,892,2846,...,...
"2005","November",780643,1557016,392750,745936,866,2284,96467,203573,36160,65793,28446,50175,10079,20220,41683,80207,2287,5176,11017,20972,7783,14954,1243,2438,2838,5730,4524,9081,1616,3506,1744,3992,10047,20237,2112,5325,2278,5423,3141,7118,5736,11789,740,1357,332,799,2349,5590,1567,4218,221,542,957,2381,...,...,...,...,215,554,31332,73028,4598,10667,...,...,2452,7551,565,1644,2068,5919,1208,3164,...,...,750,2603,1625,5700,1650,3769,2388,7562,...,...,3404,6705,3442,10573,8306,15437,2636,6818,...,...,...,...,...,...,3420,8095,8139,12423,3076,8483,1954,2887,1169,2569,5041,7166,1553,3338,502,1101,...,...,2176,4339,...,...,2930,3952,1658,3121,993,3248,...,...,...,...,...,...,...,...,...,...,1012,2068,730,1917,1294,3572,5452,17544,720,1990,726,1428,1569,3868,907,3397,...,...
"2005","Dezember",866855,2115946,426152,925912,788,2252,120082,354687,38532,91569,38996,83988,7860,17067,51807,159276,2105,6273,16648,50883,12995,44472,2762,9347,2086,5020,3557,8605,1232,3164,1731,4299,11486,27340,2186,6065,5486,16476,1661,3896,5180,11499,756,1482,262,820,2009,5467,967,2904,222,504,750,2060,...,...,...,...,156,433,30466,76150,3862,9552,...,...,2291,7344,365,1106,1870,5503,1143,3388,...,...,559,1967,1506,6012,2735,6501,2095,6481,...,...,3085,8657,2614,8571,6962,14294,2442,5691,...,...,...,...,...,...,5486,14656,7552,11460,2756,8042,2073,3321,937,2003,4030,5980,1225,3019,235,680,...,...,3153,5947,...,...,1975,3208,2012,3719,1185,3818,...,...,...,...,...,...,...,...,...,...,1110,2312,703,1973,1243,3732,7267,24681,594,1822,555,1374,1322,3656,993,3566,...,...
"2006","Jahrestotal",14811349,34848426,6948392,15203977,16809,41758,2106860,5757096,585472,1269871,498702,1057218,160031,355855,784963,2202324,32802,85901,329022,871272,218743,767640,37677,121761,55788,124783,78928,191144,35703,89910,32918,77764,189121,403460,35434,92109,46891,116858,28409,75785,107665,237593,11566,25341,6375,14428,38351,100351,27739,66200,3852,10851,13953,34923,...,...,...,...,3961,11064,725497,1659064,88731,205120,...,...,44668,127780,11606,31121,39185,101975,20067,53092,...,...,9889,34436,23003,74991,29063,78864,33394,102789,...,...,62150,165984,115055,284390,347299,594951,45833,98728,...,...,...,...,...,...,91811,206188,132610,205355,75352,291428,28558,53121,10779,24462,95363,136289,15399,35633,3462,11253,...,...,23306,51735,...,...,41935,59234,36467,67169,23209,64704,...,...,...,...,...,...,...,...,...,...,11513,27209,10929,28235,23108,68133,93369,327918,10467,27055,9290,20254,28658,74595,14197,47934,...,...
"2006","Januar",985176,2758499,505083,1242728,895,2978,136864,478246,38978,90025,36567,98574,9421,23666,56444,188256,2433,7676,19463,73139,16483,76514,3561,15016,3911,9607,5597,16448,2378,6511,1892,5586,9505,24011,1936,5633,3473,12280,4398,15312,5775,14383,608,1679,413,1021,2481,7510,1314,3884,313,1016,730,2040,...,...,...,...,249,623,33101,85439,4979,13096,...,...,3029,10407,564,1636,1506,4468,955,2945,...,...,804,2581,1513,5094,2702,7560,2177,6330,...,...,3919,10983,1998,7370,6426,14990,2257,5556,...,...,...,...,...,...,6504,17937,4464,7776,3566,11377,1740,3211,492,1142,5297,7638,730,1957,192,613,...,...,880,2168,...,...,1888,2549,1373,2585,1245,4193,...,...,...,...,...,...,...,...,...,...,850,2137,930,3083,1362,4932,12238,67449,720,2142,710,1869,1508,4255,1392,6669,...,...
"2006","Februar",1046718,3121764,496722,1388179,1018,3618,154926,485262,54129,178262,33934,84998,9907,25191,72055,266681,2897,8752,34434,134219,22400,88502,5876,19850,5331,14855,8648,28434,3764,12915,2887,8538,9892,23857,2663,7382,1972,5534,1886,4719,7163,19259,756,2133,498,1138,3034,10939,1804,5063,308,912,706,2294,...,...,...,...,220,722,34167,90776,4942,13030,...,...,2963,9018,707,2203,1458,5608,1033,3525,...,...,465,1675,1594,5076,1883,5239,2210,7460,...,...,3483,8985,2183,7298,7334,17852,2116,5626,...,...,...,...,...,...,3576,10371,5916,10642,3408,11343,1782,3172,315,933,4745,6789,621,1644,164,624,...,...,909,2354,...,...,1604,2404,1973,4800,1072,3707,...,...,...,...,...,...,...,...,...,...,890,2026,1117,2553,1333,4575,6861,25083,753,1980,586,1618,1844,6185,881,3382,...,...
"2006","März",1171987,3178498,562276,1376677,1280,3219,177391,600388,48603,116480,43686,99629,12871,32164,70737,214965,3135,7691,26033,91733,18889,83552,3073,16853,4654,11552,9813,31235,3795,11172,2991,7906,12797,28242,3252,9804,3285,8987,2559,6630,8736,21242,1150,2753,400,833,3469,9856,2030,5261,290,1132,1066,3047,...,...,...,...,237,674,48922,124535,7029,21164,...,...,2758,8438,829,2257,2403,7328,1342,3692,...,...,822,2694,2130,6766,2397,7728,2728,8733,...,...,5294,13069,3264,10069,11233,24354,2477,6470,...,...,...,...,...,...,4190,11054,5412,9980,3299,9953,2280,5098,665,1736,4217,6447,1395,2940,242,998,...,...,1562,3659,...,...,2826,4024,3238,6515,1494,4651,...,...,...,...,...,...,...,...,...,...,1054,2299,902,2190,1545,4906,9640,35455,1108,2576,837,1897,2468,6811,1487,4335,...,...
"2006","April",1022367,2452012,467380,1028097,1355,3036,157201,459049,42046,87644,39853,75544,12119,28107,55162,160608,2094,5644,15512,33159,18869,77216,2621,7544,3406,7093,6051,14831,2407,6526,2473,5757,13431,31625,3516,8883,3406,7868,1785,4873,7662,16591,859,1791,372,800,3077,7596,1971,4556,238,715,1302,3113,...,...,...,...,209,616,43398,100888,5972,14320,...,...,3449,9033,839,2288,2931,8337,1495,3481,...,...,786,2526,1759,5669,2081,5544,2527,8374,...,...,4231,11924,9207,23051,12500,26157,3461,7212,...,...,...,...,...,...,5519,12231,10719,18438,3385,11660,2409,6893,915,2130,7929,10834,1449,3764,312,1044,...,...,1677,4148,...,...,2408,4136,8286,13634,1989,5113,...,...,...,...,...,...,...,...,...,...,977,2073,753,1732,1288,4056,6917,21458,919,2498,830,1522,1712,4061,961,2901,...,...
"2006","Mai",1158593,2384279,507467,998946,1207,2736,174257,392032,43342,78193,31978,54884,13498,26773,59264,132038,2659,6195,22257,46153,11419,21579,2369,5015,4336,9186,6549,12581,2320,4823,2656,5703,12512,25257,2812,7349,2683,7201,2585,6698,10662,19388,925,1898,555,1233,3109,7988,1964,4806,312,682,1177,3269,...,...,...,...,390,1059,70847,152962,9402,19810,...,...,4669,14034,1243,3205,3705,10132,1850,4547,...,...,706,2666,2761,7691,2525,7036,2985,9637,...,...,3625,8453,26569,63856,26237,40399,5029,10139,...,...,...,...,...,...,8645,18191,13043,19436,4085,14021,2630,4494,782,1984,9121,12803,1779,3778,380,1159,...,...,2441,4737,...,...,4509,6274,5508,9583,2186,5505,...,...,...,...,...,...,...,...,...,...,1105,2438,1013,2498,1535,5327,7078,20533,925,2143,810,1650,2401,5676,1200,3817,...,...
"2006","Juni",1446406,3076050,645819,1275639,1657,3367,204867,505641,49677,90369,41384,73029,16258,33810,77015,210031,2850,7215,29352,69499,17070,50022,3281,8991,4982,10262,6782,12671,3234,6258,3605,7181,14883,30200,3042,7344,3019,6794,2203,5689,10565,20453,1068,2108,561,1528,2894,6902,3130,6760,352,835,1075,2534,...,...,...,...,385,1105,100114,216635,9324,19915,...,...,3987,11743,1357,3713,5402,12956,2438,6122,...,...,878,3084,2010,7145,2664,6584,4092,12267,...,...,4582,10388,21577,51080,56140,89307,4592,10069,...,...,...,...,...,...,11659,24358,15760,23699,5697,17815,3023,4877,964,2556,7782,11103,1804,4481,344,1221,...,...,3041,6059,...,...,5563,7206,2612,5086,2315,5728,...,...,...,...,...,...,...,...,...,...,857,2200,1028,2455,1827,5238,5862,19389,835,1880,800,1646,3273,7705,1193,4103,...,...
