"PERIOD","SECTOR","CLASSIFICATION","VALUE","STATUS","UNIT_MEAS"
"1996","S.14+S15","P.3","1.49118651300673","A","ACPP"
"1996","S.2","P.7","158582.741246977","A","MCHF"
"1996","S.2","P.7","157127.717954826","A","Y"
"1996","S.2","P.7","4.90211464538409","A","AC"
"1996","S.2","P.7","3.9396201204145","A","ACPP"
"1996","S.2","P.71","117968.286911888","A","MCHF"
"1996","S.2","P.71","117595.326755642","A","Y"
"1996","S.2","P.71","4.23357061998448","A","AC"
"1996","S.2","P.71","3.90403316714731","A","ACPP"
"1996","S.2","P.71c","98482.1283998853","A","MCHF"
"1996","S.2","P.71c","99293.9305351522","A","Y"
"1996","S.2","P.71c","2.20263328332172","A","AC"
"1996","S.2","P.71c","3.04510406738529","A","ACPP"
"1996","S.2","P.72","40614.4543350889","A","MCHF"
"1996","S.2","P.72","39532.3911991843","A","Y"
"1996","S.2","P.72","6.89351418238514","A","AC"
"1996","S.2","P.72","4.04562337460133","A","ACPP"
"1996","S.2","P.6","172467.894309863","A","MCHF"
"1996","S.2","P.6","172013.816955474","A","Y"
"1996","S.2","P.6","3.29053837939451","A","AC"
"1996","S.2","P.6","3.01859272488039","A","ACPP"
"1996","S.2","P.61","119900.424036965","A","MCHF"
"1996","S.2","P.61","119941.404802949","A","Y"
"1996","S.2","P.61","2.78217747481436","A","AC"
"1996","S.2","P.61","2.81730739529839","A","ACPP"
"1996","S.2","P.61c","101537.533606965","A","MCHF"
"1996","S.2","P.61c","102699.840706066","A","Y"
"1996","S.2","P.61c","2.27929867835828","A","AC"
"1996","S.2","P.61c","3.45009681301745","A","ACPP"
"1996","S.2","P.62","52567.4702728982","A","MCHF"
"1996","S.2","P.62","52072.4121525249","A","Y"
"1996","S.2","P.62","4.4690822414957","A","AC"
"1996","S.2","P.62","3.48523677160503","A","ACPP"
"1997","S.1","B.1*b","427826.113313086","A","MCHF"
"1997","S.1","B.1*b","429874.392980557","A","Y"
"1997","S.1","B.1*b","1.77406715969872","A","AC"
"1997","S.1","B.1*b","2.2613252908695","A","ACPP"
"1997","S.1","P.3","296872.070251772","A","MCHF"
"1997","S.1","P.3","295456.56273617","A","Y"
"1997","S.1","P.3","2.21920185211228","A","AC"
"1997","S.1","P.3","1.73181330007441","A","ACPP"
"1997","S.1","P.51b","109859.913955077","A","MCHF"
"1997","S.1","P.51b","112117.025086032","A","Y"
"1997","S.1","P.51b","2.07762000561983","A","AC"
"1997","S.1","P.51b","4.17484113060886","A","ACPP"
"1997","S.1","P.5111be","68666.6702016872","A","MCHF"
"1997","S.1","P.5111be","69649.5138046505","A","Y"
"1997","S.1","P.5111be","6.46873133009307","A","AC"
"1997","S.1","P.5111be","7.99264549683569","A","ACPP"
"1997","S.1","P.5111c","41193.2437533898","A","MCHF"
"1997","S.1","P.5111c","42467.5112813815","A","Y"
"1997","S.1","P.5111c","-4.48877182489974","A","AC"
"1997","S.1","P.5111c","-1.5342374029263","A","ACPP"
"1997","S.1","P.52","2140.6026948546","A","MCHF"
"1997","S.1","P.52","415.545051353052","A","Y"
"1997","S.1","P.52","-70.9733926843563","A","AC"
"1997","S.1","P.52","-94.3652023532544","A","ACPP"
"1997","S.1","P.53","-379.86331319122","A","MCHF"
"1997","S.1","P.53","-1083.77734786723","A","Y"
"1997","S.1","P.53","-135.9069852186","A","AC"
"1997","S.1","P.53","-202.44521083965","A","ACPP"
"1997","S.1","P.5","111620.65333674","A","MCHF"
"1997","S.1","P.5","111448.792789518","A","Y"
"1997","S.1","P.5","-3.82208607234374","A","AC"
"1997","S.1","P.5","-3.97016967895442","A","ACPP"
"1997","S.13","P.3","49756.52553207","A","MCHF"
"1997","S.13","P.3","50128.7636857379","A","Y"
"1997","S.13","P.3","-0.499519793753809","A","AC"
"1997","S.13","P.3","0.244862468572172","A","ACPP"
"1997","S.14+S15","P.3","247115.544719702","A","MCHF"
"1997","S.14+S15","P.3","245327.799050432","A","Y"
"1997","S.14+S15","P.3","2.78468276294964","A","AC"
"1997","S.14+S15","P.3","2.04109185819632","A","ACPP"
"1997","S.2","P.7","179582.140064112","A","MCHF"
"1997","S.2","P.7","175006.711848712","A","Y"
"1997","S.2","P.7","13.2419194245299","A","AC"
