Datenportal der Schweizerischen Nationalbank,,,
https://data.snb.ch,,,
,,,
Tabellenangebot,,,
Volkswirtschaft der Schweiz,,,
Kerninflation,,,
Veränderung gegenüber Vorjahr,,,
https://data.snb.ch/de/topics/uvo/chart/plkoprinflach,,,
,,,
Hinweis: Die vorliegende Datei enthält keine sonstigen Informationen oder Verweise.,,,
Für das bessere Verständnis der Werte in dieser Datei muss gegebenenfalls die entsprechende Grafik konsultiert werden.,,,
Aus urheberrechtlichen Gründen kann das Herunterladen von Datenreihen eingeschränkt sein.,,,
,,,
Grafik ID,plkoprinflach,,
,,,
,LIK,TM15,BFS1
2017-02,0.6,0.205158856,-0.1
2017-03,0.6,0.164828571,0.1
2017-04,0.4,0.245950369,0.1
2017-05,0.5,0.35404322,0.2
2017-06,0.2,0.241608155,0.2
2017-07,0.3,0.368378255,0.3
2017-08,0.5,0.397826662,0.4
2017-09,0.7,0.517442715,0.5
2017-10,0.7,0.548626053,0.5
2017-11,0.8,0.472872611,0.6
2017-12,0.8,0.490309303,0.7
2018-01,0.7,0.526968962,0.5
2018-02,0.6,0.4020805,0.5
2018-03,0.8,0.56427614,0.6
2018-04,0.8,0.535425459,0.5
2018-05,1,0.467188791,0.4
2018-06,1.1,0.50588191,0.5
2018-07,1.2,0.596351788,0.5
2018-08,1.2,0.600555932,0.5
2018-09,1,0.563094956,0.4
2018-10,1.1,0.642892989,0.4
2018-11,0.9,0.466789694,0.2
2018-12,0.7,0.456036199,0.3
2019-01,0.6,0.441091057,0.5
2019-02,0.6,0.435333638,0.4
2019-03,0.7,0.480708383,0.5
2019-04,0.7,0.594226475,0.5
2019-05,0.6,0.439774424,0.6
2019-06,0.6,0.429375385,0.7
2019-07,0.3,0.303480908,0.4
2019-08,0.3,0.31197352,0.4
2019-09,0.1,0.240088124,0.4
2019-10,-0.3,0.135895981,0.2
2019-11,-0.1,0.283517344,0.4
2019-12,0.2,0.309447893,0.4
2020-01,0.2,0.266260397,0.2
2020-02,-0.1,0.270618184,0.2
2020-03,-0.5,0.179990721,-0.1
2020-04,-1.1,0.109490839,-0.5
2020-05,-1.3,0.071402786,-0.6
2020-06,-1.3,0.099414376,-0.8
2020-07,-0.9,0.090323401,-0.4
2020-08,-0.9,0.070332069,-0.4
2020-09,-0.8,0.087724127,-0.3
2020-10,-0.6,0.191489148,-0.1
2020-11,-0.7,0.030061923,-0.2
2020-12,-0.8,-0.084246975,-0.4
2021-01,-0.5,0.142507259,0
2021-02,-0.5,0.157545265,-0.3
2021-03,-0.2,0.146870904,-0.4
2021-04,0.3,0.225829383,0
2021-05,0.6,0.336942412,0.2
2021-06,0.6,0.359737438,0.3
2021-07,0.7,0.353959995,0.2
2021-08,0.9,0.56199124,0.4
2021-09,0.9,0.546816921,0.5
2021-10,1.2,0.624771299,0.6
2021-11,1.5,0.69679477,0.7
2021-12,1.5,0.740223297,0.8
2022-01,1.6,0.774585597,0.8
2022-02,2.2,0.966656334,1.3
2022-03,2.4,1.070070386,1.4
2022-04,2.5,1.073329321,1.5
2022-05,2.9,1.331929016,1.7
2022-06,3.4,1.404053192,1.9
2022-07,3.4,1.450040854,2
2022-08,3.5,1.673460131,2
2022-09,3.3,1.7638673,2
2022-10,3,1.80035309,1.8
2022-11,3,1.935828461,1.9
2022-12,2.8,1.861531362,2
2023-01,3.3,2.209393678,2.2
2023-02,3.4,2.262390617,2.4
2023-03,2.9,1.844892555,2.2
2023-04,2.6,1.748198127,2.2
2023-05,2.2,1.630862651,1.9
2023-06,1.7,1.578633074,1.8
2023-07,1.6,1.499752152,1.7
2023-08,1.6,1.356964005,1.5
2023-09,1.7,1.327020862,1.3
2023-10,1.7,1.286380457,1.5
2023-11,1.4,1.335119752,1.4
2023-12,1.7,1.457024646,1.5
2024-01,1.3,1.392713122,1.2
2024-02,1.2,1.240404043,1.1
2024-03,1,1.156458031,1
2024-04,1.4,1.32168166,1.2
2024-05,1.4,1.366568173,1.2
2024-06,1.3,1.336463821,1.1
2024-07,1.3,1.391005315,1.1
2024-08,1.1,1.167270234,1.1
2024-09,0.8,1.193114401,1
2024-10,0.6,0.959185025,0.8
