"CubeId";"amarbma"
"PublishingDate";"2024-11-21 09:00"

"Date";"D0";"Value"
"2005-02";"E";"3946988"
"2005-03";"T1";"3.94429879"
"2005-03";"S1";"3.79583115"
"2005-03";"E";"3946988"
"2005-04";"T1";"3.81736656"
"2005-04";"S1";"3.79651522"
"2005-04";"E";"3946988"
"2005-05";"T1";"3.68306162"
"2005-05";"S1";"3.81663182"
"2005-05";"E";"3946988"
"2005-06";"T1";"3.56375545"
"2005-06";"S1";"3.82590472"
"2005-06";"E";"3946988"
"2005-07";"T1";"3.5445256"
"2005-07";"S1";"3.79996088"
"2005-07";"E";"3946988"
"2005-08";"T1";"3.6067756"
"2005-08";"S1";"3.78696363"
"2005-08";"E";"3946988"
"2005-09";"T1";"3.6161245"
"2005-09";"S1";"3.77893219"
"2005-09";"E";"3946988"
"2005-10";"T1";"3.65002376"
"2005-10";"S1";"3.74047248"
"2005-10";"E";"3946988"
"2005-11";"T1";"3.71832901"
"2005-11";"S1";"3.68648195"
"2005-11";"E";"3946988"
"2005-12";"T1";"3.84505856"
"2005-12";"S1";"3.62162236"
"2005-12";"E";"3946988"
"2006-01";"T1";"3.90687785"
"2006-01";"S1";"3.5715082"
"2006-01";"E";"3946988"
"2006-02";"T1";"3.8028745"
"2006-02";"S1";"3.52993219"
"2006-02";"E";"3946988"
"2006-03";"T1";"3.62932444"
"2006-03";"S1";"3.49258726"
"2006-03";"E";"3946988"
"2006-04";"T1";"3.45478628"
"2006-04";"S1";"3.4363165"
"2006-04";"E";"3946988"
"2006-05";"T1";"3.28062817"
"2006-05";"S1";"3.40054239"
"2006-05";"E";"3946988"
"2006-06";"T1";"3.1121706"
"2006-06";"S1";"3.34900942"
"2006-06";"E";"3946988"
"2006-07";"T1";"3.08399722"
"2006-07";"S1";"3.30832017"
"2006-07";"E";"3946988"
"2006-08";"T1";"3.11817518"
"2006-08";"S1";"3.27665045"
"2006-08";"E";"3946988"
"2006-09";"T1";"3.08782292"
"2006-09";"S1";"3.23380765"
"2006-09";"E";"3946988"
"2006-10";"T1";"3.11034642"
"2006-10";"S1";"3.18721516"
"2006-10";"E";"3946988"
"2006-11";"T1";"3.14500576"
"2006-11";"S1";"3.11865656"
"2006-11";"E";"3946988"
"2006-12";"T1";"3.25767395"
"2006-12";"S1";"3.06317121"
"2006-12";"E";"3946988"
"2007-01";"T1";"3.32043067"
"2007-01";"S1";"3.02830918"
"2007-01";"E";"3946988"
