"CubeId";"amarbma"
"PublishingDate";"2024-11-21 09:00"

"Date";"D0";"Value"
"2022-07";"E";"4597259"
"2022-08";"T1";"1.98753214"
"2022-08";"S1";"2.08441595"
"2022-08";"E";"4597259"
"2022-09";"T1";"1.94737777"
"2022-09";"S1";"2.05400653"
"2022-09";"E";"4597259"
"2022-10";"T1";"1.9497705"
"2022-10";"S1";"2.02890461"
"2022-10";"E";"4597259"
"2022-11";"T1";"1.98655329"
"2022-11";"S1";"2.00108369"
"2022-11";"E";"4597259"
"2022-12";"T1";"2.10866954"
"2022-12";"S1";"1.97478541"
"2022-12";"E";"4597259"
"2023-01";"T1";"2.19208881"
"2023-01";"S1";"1.97456789"
"2023-01";"E";"4597259"
"2023-02";"T1";"2.14153695"
"2023-02";"S1";"1.96549727"
"2023-02";"E";"4597259"
"2023-03";"T1";"2.01761528"
"2023-03";"S1";"1.94963999"
"2023-03";"E";"4597259"
"2023-04";"T1";"1.96930388"
"2023-04";"S1";"1.96084232"
"2023-04";"E";"4597259"
"2023-05";"T1";"1.91583724"
"2023-05";"S1";"1.97981014"
"2023-05";"E";"4597259"
"2023-06";"T1";"1.85108126"
"2023-06";"S1";"1.99153452"
"2023-06";"E";"4597259"
"2023-07";"T1";"1.905505"
"2023-07";"S1";"2.02914389"
"2023-07";"E";"4597259"
"2023-08";"T1";"1.95509977"
"2023-08";"S1";"2.05030867"
"2023-08";"E";"4597259"
"2023-09";"T1";"1.97565549"
"2023-09";"S1";"2.08080511"
"2023-09";"E";"4597259"
"2023-10";"T1";"2.03519097"
"2023-10";"S1";"2.11491239"
"2023-10";"E";"4597259"
"2023-11";"T1";"2.13194427"
"2023-11";"S1";"2.1456916"
"2023-11";"E";"4597259"
"2023-12";"T1";"2.32440678"
"2023-12";"S1";"2.17577474"
"2023-12";"E";"4597259"
"2024-01";"T1";"2.46179299"
"2024-01";"S1";"2.21553756"
"2024-01";"E";"4597259"
"2024-02";"T1";"2.43360228"
"2024-02";"S1";"2.2377682"
"2024-02";"E";"4597259"
"2024-03";"T1";"2.36212491"
"2024-03";"S1";"2.28179443"
"2024-03";"E";"4597259"
"2024-04";"T1";"2.32653849"
"2024-04";"S1";"2.32016512"
"2024-04";"E";"4597259"
"2024-05";"T1";"2.29408437"
"2024-05";"S1";"2.37482813"
"2024-05";"E";"4597259"
"2024-06";"T1";"2.27348514"
"2024-06";"S1";"2.44336897"
"2024-06";"E";"4597259"
"2024-07";"T1";"2.34304833"
"2024-07";"S1";"2.49657459"
"2024-07";"E";"4597259"
"2024-08";"T1";"2.42218244"
"2024-08";"S1";"2.53936095"
"2024-08";"E";"4597259"
"2024-09";"T1";"2.46331564"
"2024-09";"S1";"2.59208802"
"2024-09";"E";"4597259"
"2024-10";"T1";"2.53296584"
"2024-10";"S1";"2.63061098"
"2024-10";"E";"4597259"
